BAC-09
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m),   dBA
2020/12/22,  20:41:20,  3.900000,    0,              0,              0,        21,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   57
2020/12/22,  20:41:40,  3.897500,    0,              0,              0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   70
2020/12/22,   20:42:0,  3.897500,    0,              0,              0,        21,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   72
2020/12/22,  20:42:20,  3.897500,    0,              0,              0,        21,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   68
2020/12/22,  20:42:40,  3.893750,    0,              0,              0,        72,        13,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   56
2020/12/22,   20:43:0,  3.895000,    0,              0,              0,        54,        10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   56
2020/12/22,  20:43:20,  3.895000,    0,              0,              0,       111,        17,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   57
2020/12/22,  20:43:40,  3.895000,    0,              0,              0,       423,        71,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   74
2020/12/22,   20:44:0,  3.895000,    0,              0,              0,        18,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   68
2020/12/22,  20:44:20,  3.893750,    0,              0,              0,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   59
2020/12/22,  20:44:40,  3.892500,    0,              0,              0,        66,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   61
2020/12/22,   20:45:0,  3.892500,    0,              0,              0,        27,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   60
2020/12/22,  20:45:20,  3.892500,    0,              0,              0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   58
2020/12/22,  20:45:40,  3.892500,    0,              0,              0,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   77
2020/12/22,   20:46:0,  3.892500,    0,              0,              0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   66
2020/12/22,  20:46:20,  3.891250,    0,              0,              0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   68
2020/12/22,  20:46:40,  3.890000,    0,              0,              0,        33,        11,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   73
2020/12/22,   20:47:0,  3.887500,    0,              0,              0,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   66
2020/12/22,  20:47:20,  3.891250,    0,              0,              0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   64
2020/12/22,  20:47:40,  3.890000,    0,              0,              0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   64
2020/12/22,   20:48:0,  3.890000,    0,              0,              0,        33,        11,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   58
2020/12/22,  20:48:20,  3.890000,    0,              0,              0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   67
2020/12/22,  20:48:40,  3.887500,    0,              0,              0,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   66
2020/12/22,   20:49:0,  3.883750,    0,              0,              0,        78,        22,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   74
2020/12/22,  20:49:20,  3.885000,    0,              0,              0,        21,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   67
2020/12/22,  20:49:40,  3.887500,    0,              0,              0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   82
2020/12/22,   20:50:0,  3.887500,    0,              0,              0,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   70
2020/12/22,  20:50:20,  3.887500,    0,              0,              0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   69
2020/12/22,  20:50:40,  3.883750,    0,              0,              0,        21,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   67
2020/12/22,   20:51:0,  3.882500,    0,              0,              0,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 19.309999,31.869141,102525.414062,-99.466492,   66
