Breakout-11
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env
    80/1/6,    0:0:27,  3.985000,    0,       0.000000,       0.000000,        33,        11,         3,         3,         3,         3,         0,         0,         1,         0,         0,         1
    80/1/6,    0:0:37,  3.988750,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2020/12/21,  14:16:34,  3.996250,    0,       0.000000,       0.000000,        36,        12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2020/12/21,  14:16:44,  3.997500,    0,       0.000000,       0.000000,        27,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2020/12/21,   14:17:3,  4.001250,    0,       0.000000,       0.000000,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2020/12/21,  14:17:13,  4.001250,    0,       0.000000,       0.000000,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2020/12/21,  14:17:33,  4.003750,    0,       0.000000,       0.000000,        45,        15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2020/12/21,  14:17:43,  4.005000,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2020/12/21,   14:18:3,  4.006250,    0,       0.000000,       0.000000,       924,       296,         0,         0,         0,         0,         4,         4,         4,         4,         4,         4
2020/12/21,  14:18:13,  4.007500,    0,       0.000000,       0.000000,      1185,       391,         7,         0,         0,         0,         6,         6,         6,         6,         6,         6
2020/12/21,  14:18:33,  4.008750,    0,       0.000000,       0.000000,       570,       190,         3,         3,         0,         0,         2,         2,         3,         2,         2,         3
2020/12/21,  14:18:43,  4.010000,    0,       0.000000,       0.000000,       333,       111,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2020/12/21,   14:19:3,  4.011250,    0,       0.000000,       0.000000,       183,        61,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2020/12/21,  14:19:13,  4.011250,    0,       0.000000,       0.000000,       138,        46,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2020/12/21,  14:19:33,  4.012500,    0,       0.000000,       0.000000,        36,        12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
