BAC-12
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m),   dBA
 2020/12/3,  19:23:56,  3.813750,    0,              0,              0,       912,       298,        61,         3,         3,         0,         4,         7,         9,         4,         7,         9,       nan,  nan,  nan,  nan,   52
 2020/12/3,  19:24:26,  3.813750,    0,              0,              0,      1029,       332,        22,         0,         0,         0,         5,         6,         6,         5,         6,         6,       nan,  nan,  nan,  nan,   51
 2020/12/3,  19:24:56,  3.812500,    0,              0,              0,       999,       326,        25,         3,         3,         0,         6,         7,         9,         6,         7,         9,       nan,  nan,  nan,  nan,   51
 2020/12/3,  19:25:26,  3.806250,    0,              0,              0,       873,       274,        29,         3,         3,         3,         5,         7,        10,         5,         7,        10,       nan,  nan,  nan,  nan,   52
 2020/12/3,  19:25:56,  3.808750,    0,              0,              0,      1296,       412,        66,         0,         0,         0,         7,        11,        11,         7,        11,        11,       nan,  nan,  nan,  nan,   64
 2020/12/3,  19:26:26,  3.808750,    0,              0,              0,       954,       300,        22,         3,         3,         0,         6,         7,         9,         6,         7,         9,       nan,  nan,  nan,  nan,   51
 2020/12/3,  19:26:56,  3.803750,    0,              0,              0,       945,       298,        21,         0,         0,         0,         5,         6,         6,         5,         6,         6,       nan,  nan,  nan,  nan,   52
 2020/12/3,  19:27:26,  3.806250,    0,              0,              0,      1134,       374,        34,         3,         3,         3,         7,         8,        10,         7,         8,        10,       nan,  nan,  nan,  nan,   51
 2020/12/3,  19:27:56,  3.808750,    0,              0,              0,       966,       312,        25,         0,         0,         0,         6,         6,         6,         6,         6,         6,       nan,  nan,  nan,  nan,   53
 2020/12/3,  19:28:26,  3.806250,    0,              0,              0,      1005,       324,        15,         0,         0,         0,         6,         6,         6,         6,         6,         6,       nan,  nan,  nan,  nan,   52
