S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
9.0,9.0,16.333333333333332,3.0,42.0,29.333333333333332,0.0,20.0,0.0,3.0,3.0,12.0,6.0,20.333333333333332,12.357142857142856,242.98129251700678,7.5,7.666666666666667,14.333333333333332,20.333333333333332
10.333333333333334,16.0,6.0,3.0,32.333333333333336,3.0,0.0,0.0,6.0,6.0,3.0,9.0,46.0,15.333333333333334,11.142857142857144,375.812925170068,6.0,4.0,14.583333333333334,15.333333333333334
23.0,9.0,3.0,10.333333333333334,38.0,3.0,0.0,0.0,13.0,6.0,3.0,16.0,40.0,7.333333333333333,12.261904761904761,423.4574829931973,9.5,6.333333333333333,15.791666666666668,7.333333333333333
26.0,9.0,8.666666666666666,6.0,36.0,7.333333333333333,0.0,11.0,10.0,0.0,6.0,19.0,3.0,4.333333333333333,10.452380952380953,182.36564625850338,12.5,7.0,11.999999999999998,4.333333333333333
27.0,12.0,12.0,12.0,48.0,9.0,0.0,21.0,13.0,3.0,6.0,9.0,10.0,4.333333333333333,13.30952380952381,216.75680272108843,7.5,12.333333333333334,16.25,4.333333333333333
13.0,7.333333333333333,18.0,6.0,56.0,9.0,0.0,7.0,9.0,6.0,13.0,12.0,10.0,8.666666666666666,12.5,262.858843537415,12.5,7.333333333333333,14.916666666666666,8.666666666666666
16.0,3.0,9.0,3.0,59.0,12.0,0.0,3.0,6.0,201.0,752.0,340.0,6.0,19.333333333333332,102.09523809523809,113183.05782312925,546.0,70.0,13.5,19.333333333333332
14.333333333333334,3.0,6.0,3.0,41.0,21.0,0.0,1012.0,3.0,537.0,4085.0,266.0,18.0,86.33333333333333,435.4047619047619,2870525.702380953,2175.5,517.3333333333334,13.291666666666668,86.33333333333333
17.0,5.0,6.0,7.333333333333333,25.0,132.0,0.0,4094.0,3.0,748.0,749.0,505.0,39.0,198.0,466.3095238095238,1329109.011904762,627.0,1615.0,28.916666666666668,198.0
19.0,10.0,7.333333333333333,15.0,27.0,162.33333333333334,0.0,4208.0,0.0,491.0,1015.0,457.0,175.0,477.6666666666667,504.5952380952381,1445532.2329931967,736.0,1566.3333333333333,51.958333333333336,477.6666666666667
