S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
16.0,10.0,4.333333333333333,6.0,75.0,4.333333333333333,0.0,10.0,3.0,3.0,9.0,19.0,10.0,11.333333333333334,12.928571428571429,443.1343537414966,14.0,5.333333333333333,15.708333333333332,11.333333333333334
9.0,6.0,12.0,12.0,66.33333333333333,0.0,0.0,0.0,6.0,3.0,12.0,22.0,10.0,4.666666666666667,11.642857142857144,452.33843537414964,17.0,3.0,14.416666666666666,4.666666666666667
6.0,3.0,9.0,6.0,66.0,6.0,0.0,9.0,3.0,3.0,15.0,20.0,0.0,0.0,10.428571428571429,362.60204081632656,17.5,5.0,12.0,0.0
20.0,5.0,15.0,6.0,39.0,10.333333333333334,0.0,15.0,20.0,3.0,9.0,7.0,3.0,3.3333333333333335,11.11904761904762,217.81462585034015,8.0,12.666666666666666,12.291666666666666,3.3333333333333335
35.0,10.0,12.0,3.0,44.333333333333336,9.333333333333334,0.0,6.0,24.0,10.0,6.0,0.0,6.0,15.333333333333334,12.928571428571429,321.6853741496599,3.0,13.333333333333334,14.958333333333334,15.333333333333334
44.0,8.0,12.0,4.333333333333333,57.333333333333336,13.0,0.0,3.0,13.0,16.0,6.0,20.0,16.0,26.666666666666668,17.0952380952381,519.6972789115647,13.0,10.666666666666666,19.333333333333332,26.666666666666668
37.0,3.0,7.333333333333333,0.0,56.0,7.333333333333333,0.0,41.0,6.0,34.0,152.0,242.0,13.0,21.333333333333332,44.285714285714285,11332.976190476189,197.0,27.0,15.458333333333334,21.333333333333332
12.0,9.0,10.333333333333334,0.0,73.33333333333333,12.0,0.0,2491.0,6.0,1065.0,584.0,181.0,9.0,14.333333333333334,319.0714285714286,541263.7670068027,382.5,1187.3333333333333,15.708333333333332,14.333333333333334
15.0,3.0,12.0,0.0,47.0,37.0,0.0,3490.0,12.0,729.0,690.0,314.0,13.0,27.333333333333332,384.95238095238096,1107323.25170068,502.0,1410.3333333333333,15.875,27.333333333333332
19.0,3.0,1.3333333333333333,6.0,54.0,50.333333333333336,0.0,1493.0,0.0,523.0,404.0,2267.0,148.0,66.0,359.61904761904765,1132006.2278911567,1335.5,672.0,35.20833333333333,66.0
23.333333333333332,3.0,30.0,40.0,93.33333333333333,100.33333333333333,0.0,2632.0,0.0,448.0,265.0,670.0,247.0,114.33333333333333,333.3095238095238,557508.0221088434,467.5,1026.6666666666667,67.125,114.33333333333333
36.0,3.0,33.0,75.33333333333333,203.0,245.0,0.0,3875.0,6.0,777.0,426.0,427.0,376.0,146.33333333333334,473.47619047619054,1030058.6360544218,426.5,1552.6666666666667,121.41666666666666,146.33333333333334
21.0,6.0,56.333333333333336,73.33333333333333,261.0,343.0,0.0,3800.0,6.0,722.0,300.0,278.0,485.0,154.33333333333334,464.7142857142858,980492.8741496598,289.0,1509.3333333333333,155.70833333333334,154.33333333333334
32.0,3.0,59.333333333333336,95.0,300.3333333333333,285.0,0.0,602.0,3.0,145.0,63.0,139.0,465.0,131.33333333333334,165.92857142857142,56619.47108843538,101.0,250.0,154.95833333333331,131.33333333333334
31.0,9.0,58.0,119.0,319.0,309.0,0.0,59.0,15.0,139.0,85.0,69.0,472.0,106.33333333333333,127.88095238095237,22774.715986394556,77.0,71.0,164.625,106.33333333333333
26.0,12.0,38.0,95.0,304.0,299.3333333333333,0.0,22.0,7.0,77.0,111.0,59.0,483.0,122.66666666666667,118.28571428571428,23977.35714285714,85.0,35.333333333333336,157.16666666666666,122.66666666666667
51.0,18.0,27.0,84.0,241.33333333333334,250.33333333333334,0.0,24.0,3.0,75.0,83.0,55.0,391.0,118.0,101.47619047619048,16054.309523809525,69.0,34.0,132.83333333333334,118.0
62.0,28.333333333333332,24.0,88.33333333333333,166.33333333333334,229.0,0.0,19.0,9.0,151.0,27.0,36.0,306.0,56.666666666666664,85.90476190476188,10031.527210884355,31.5,59.666666666666664,113.0,56.666666666666664
19.0,0.0,25.333333333333332,104.0,223.0,187.33333333333334,0.0,31.0,23.0,121.0,44.0,43.0,216.0,28.333333333333332,76.07142857142857,7951.797619047618,43.5,58.333333333333336,96.83333333333333,28.333333333333332
