S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
9,0,45,0,9,0,0,0,0,0,39,18,9,0,9.214285714285714,208.88265306122446,28.5,0.0,9.0,0.0
9,0,45,0,9,0,0,0,0,0,0,69,63,4,14.214285714285714,578.8826530612245,34.5,0.0,15.75,4.0
4,0,180,0,0,0,0,0,0,33,0,60,33,9,22.785714285714285,2214.7397959183672,30.0,11.0,27.125,9.0
0,0,180,0,0,9,0,0,0,42,48,9,9,4,21.5,2161.1071428571427,28.5,14.0,24.75,4.0
0,0,180,0,0,36,0,0,0,0,0,9,0,0,16.071428571428573,2154.352040816327,4.5,0.0,27.0,0.0
0,0,90,0,9,27,0,9,9,0,0,0,9,4,11.214285714285714,529.1683673469388,0.0,6.0,16.875,4.0
0,9,0,0,18,27,0,18,18,0,1236,9,9,9,96.64285714285714,99925.94387755104,622.5,12.0,7.875,9.0
0,9,0,0,9,13,0,0,9,9,9992,561,0,4,757.5714285714286,6580035.102040814,5276.5,6.0,3.875,4.0
0,0,0,0,0,0,0,0,0,0,24453,402,156,0,1786.5,39532356.96428571,12427.5,0.0,19.5,0.0
0,0,75,0,0,0,0,0,0,21,10431,2535,66,0,937.7142857142857,7352292.489795918,6483.0,7.0,17.625,0.0
0,0,75,64,0,0,0,0,0,591,10431,2535,45,0,981.5,7293301.535714285,6483.0,197.0,23.0,0.0
0,0,37,186,30,0,0,9,4,6711,14169,5523,9,0,1905.5714285714287,16107272.816326533,9846.0,2241.3333333333335,32.75,0.0
0,0,0,168,21,0,0,30,39,5631,815,3738,9,0,746.5,2755323.25,2276.5,1900.0,24.75,0.0
0,0,0,273,9,28,0,39,120,5415,39318,3909,33,0,3510.285714285714,101292182.34693876,21613.5,1858.0,42.875,0.0
10,18,18,276,27,93,0,99,387,4614,6492,5532,33,0,1257.0714285714287,5154417.494897959,6012.0,1700.0,59.375,0.0
39,18,18,276,27,81,0,174,252,1440,1779,3447,0,4,539.6428571428571,944477.0867346938,2613.0,622.0,57.375,4.0
27,9,18,352,58,99,0,159,180,729,1617,999,0,9,304.0,217590.85714285713,1308.0,356.0,70.375,9.0
9,0,55,381,54,99,0,141,285,273,1002,588,0,4,206.5,77813.67857142857,795.0,233.0,74.75,4.0
0,0,84,126,9,99,0,111,195,477,369,501,0,0,140.78571428571428,30025.88265306122,435.0,261.0,39.75,0.0
0,45,75,36,30,76,0,39,102,237,327,372,10,4,96.64285714285714,14170.515306122448,349.5,126.0,34.0,4.0
9,45,75,36,30,54,0,27,123,75,135,438,20,9,76.85714285714286,11584.122448979593,286.5,75.0,33.625,9.0
27,45,72,36,30,27,0,51,117,108,111,387,99,4,79.57142857142857,8720.102040816326,249.0,92.0,42.0,4.0
9,31,72,45,19,0,0,81,174,72,84,348,108,0,74.5,8053.821428571428,216.0,109.0,35.5,0.0
9,18,40,9,9,0,0,114,108,54,54,75,18,0,36.285714285714285,1441.0612244897966,64.5,92.0,12.875,0.0
9,0,72,0,126,0,0,60,63,0,75,69,27,0,35.785714285714285,1564.025510204082,72.0,41.0,29.25,0.0
9,9,108,0,126,0,0,108,129,9,57,87,18,0,47.142857142857146,2579.6938775510203,72.0,82.0,33.75,0.0
9,9,54,0,0,27,0,18,75,30,27,39,66,0,25.285714285714285,593.6326530612243,33.0,41.0,20.625,0.0
9,9,18,0,0,36,0,18,21,42,0,63,54,0,19.285714285714285,427.7755102040816,31.5,27.0,15.75,0.0
0,4,18,4,4,9,0,30,0,21,39,60,9,0,14.142857142857142,299.6938775510204,49.5,17.0,6.0,0.0
0,9,22,0,0,18,0,21,0,0,60,81,30,0,17.214285714285715,588.7397959183673,70.5,7.0,9.875,0.0
0,9,45,0,0,18,0,0,0,0,99,111,84,0,26.142857142857142,1574.2653061224491,105.0,0.0,19.5,0.0
0,9,18,0,0,9,0,0,9,42,39,30,54,0,15.0,322.7142857142857,34.5,17.0,11.25,0.0
0,0,9,0,0,0,0,18,18,51,18,18,42,0,12.428571428571429,255.67346938775506,18.0,29.0,6.375,0.0
0,0,9,18,0,0,0,18,9,0,18,18,9,39,9.857142857142858,121.40816326530611,18.0,9.0,4.5,39.0
0,0,9,36,4,18,0,30,0,9,48,72,9,78,22.357142857142858,668.0867346938776,60.0,13.0,9.5,78.0
0,0,4,22,0,9,0,42,117,0,48,21,0,39,21.571428571428573,984.6734693877552,34.5,53.0,4.375,39.0
