S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
9,0,0,0,60,37,0,27,0,9,0,9,0,9,11.428571428571429,299.5306122448979,4.5,12.0,13.25,9.0
13,39,0,0,60,0,0,0,0,0,0,0,9,13,9.571428571428571,304.1020408163265,0.0,0.0,15.125,13.0
9,9,0,9,57,0,0,0,0,0,9,21,9,18,10.071428571428571,214.20918367346943,15.0,0.0,11.625,18.0
18,9,4,0,39,18,0,0,9,0,0,30,9,13,10.642857142857142,136.51530612244895,15.0,3.0,12.125,13.0
30,9,18,0,51,18,0,0,9,0,0,0,30,9,12.428571428571429,223.53061224489798,0.0,3.0,19.5,9.0
0,4,18,0,54,18,0,0,9,9,30,0,21,13,12.571428571428571,217.10204081632656,15.0,6.0,14.375,13.0
0,0,0,0,54,18,0,0,9,360,111,867,0,18,102.64285714285714,53554.08673469388,489.0,123.0,9.0,18.0
0,0,18,0,36,27,0,468,0,417,309,285,45,97,121.57142857142857,26891.959183673473,297.0,295.0,15.75,97.0
9,0,18,9,18,186,0,5355,0,459,327,720,45,177,523.0714285714286,1839310.2091836734,523.5,1938.0,35.625,177.0
27,0,9,9,36,168,0,7026,0,318,1419,198,120,559,706.3571428571429,3206477.94387755,808.5,2448.0,46.125,559.0
9,0,0,63,138,441,0,1962,0,633,162,18,240,942,329.14285714285717,280182.1224489796,90.0,865.0,111.375,942.0
9,15,27,63,300,441,0,4452,9,684,135,30,363,744,519.4285714285714,1250347.9591836736,82.5,1715.0,152.25,744.0
9,9,54,18,300,490,0,1578,9,1095,120,126,495,546,346.35714285714283,208330.22959183672,123.0,894.0,171.875,546.0
9,9,36,18,217,639,0,120,0,150,99,117,315,525,161.0,37824.142857142855,108.0,90.0,155.375,525.0
21,0,36,64,255,669,0,69,0,72,57,30,396,504,155.21428571428572,43290.31122448979,43.5,47.0,180.125,504.0
30,9,40,36,318,576,0,90,9,18,18,30,438,429,145.78571428571428,37488.73979591836,24.0,39.0,180.875,429.0
27,9,27,36,270,693,0,42,9,42,45,30,225,354,129.21428571428572,36050.73979591837,37.5,31.0,160.875,354.0
18,4,27,45,354,693,0,21,0,42,45,33,216,231,123.5,35747.392857142855,39.0,21.0,169.625,231.0
18,0,54,120,354,502,0,18,0,9,63,42,342,108,116.42857142857143,24281.959183673454,52.5,9.0,173.75,108.0
27,9,27,120,255,219,0,18,0,0,54,9,417,193,96.28571428571429,15256.489795918367,31.5,6.0,134.25,193.0
9,9,27,87,144,192,0,0,9,9,9,0,168,279,67.28571428571429,7784.632653061223,4.5,6.0,79.5,279.0
9,0,27,54,78,192,0,42,9,72,0,9,60,178,52.142857142857146,3643.122448979592,4.5,41.0,52.5,178.0
60,0,18,147,147,147,0,42,9,54,18,0,159,78,62.785714285714285,3572.311224489797,9.0,35.0,84.75,78.0
69,10,9,147,306,147,0,39,18,0,9,21,57,63,63.92857142857143,6726.066326530612,15.0,19.0,93.125,63.0
69,0,0,36,306,96,0,27,9,30,9,21,9,48,47.142857142857146,5886.551020408166,15.0,22.0,64.5,48.0
39,9,0,36,172,63,0,9,18,75,0,0,75,28,37.42857142857143,2091.244897959183,0.0,34.0,49.25,28.0
18,9,0,31,96,45,0,0,9,42,18,0,108,9,27.5,1138.107142857143,9.0,17.0,38.375,9.0
0,18,9,18,150,57,0,0,0,9,48,21,147,15,35.142857142857146,2417.6938775510207,34.5,3.0,49.875,15.0
30,18,9,18,84,126,0,18,0,9,39,21,96,21,34.92857142857143,1393.2091836734694,30.0,9.0,47.625,21.0
30,18,27,18,42,126,0,9,0,9,0,0,30,15,23.142857142857142,978.9795918367346,0.0,6.0,36.375,15.0
30,9,45,9,42,67,0,0,0,9,9,0,9,9,17.0,401.2857142857143,4.5,3.0,26.375,9.0
15,9,27,9,57,9,0,0,0,0,9,9,21,4,12.071428571428571,216.06632653061232,9.0,0.0,18.375,4.0
0,9,27,9,75,9,0,0,0,0,0,0,21,0,10.714285714285714,387.91836734693857,0.0,0.0,18.75,0.0
9,9,13,9,84,39,0,9,0,9,0,9,33,0,15.928571428571429,483.4948979591836,4.5,6.0,24.5,0.0
27,9,9,0,57,75,0,0,0,30,0,9,9,0,16.071428571428573,515.0663265306121,4.5,10.0,23.25,0.0
0,13,27,0,48,75,0,0,0,21,0,0,0,24,14.857142857142858,482.4081632653061,0.0,7.0,20.375,24.0
