S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
0,9,9,9,117,13,0,21,0,0,9,21,30,21,18.5,829.5357142857142,15.0,7.0,23.375,21.0
0,9,18,9,133,0,0,0,0,9,18,9,30,10,17.5,1098.107142857143,13.5,3.0,24.875,10.0
9,0,18,9,108,0,0,0,9,9,27,30,0,0,15.642857142857142,751.0867346938776,28.5,6.0,18.0,0.0
0,0,18,9,45,9,0,18,9,9,0,21,9,0,10.5,141.10714285714286,10.5,12.0,11.25,0.0
9,0,18,9,78,0,0,9,0,30,0,0,18,0,12.214285714285714,413.311224489796,0.0,13.0,16.5,0.0
18,15,27,9,120,0,0,0,18,21,0,30,9,10,19.785714285714285,866.0255102040819,15.0,13.0,24.75,10.0
18,9,9,0,120,4,0,0,18,9,57,75,0,21,24.285714285714285,1168.9183673469388,66.0,9.0,20.0,21.0
9,27,9,0,94,9,0,3438,0,369,327,279,9,25,328.2142857142857,760224.5969387754,303.0,1269.0,19.625,25.0
9,9,9,0,27,9,0,1980,0,1194,456,69,18,30,272.14285714285717,323153.2653061224,262.5,1058.0,10.125,30.0
9,9,4,0,48,45,0,1704,0,303,264,72,18,63,181.35714285714286,187045.65816326524,168.0,669.0,16.625,63.0
21,9,27,36,168,165,0,2502,0,240,174,42,90,96,255.0,393900.4285714285,108.0,914.0,64.5,96.0
42,9,18,129,282,165,0,2847,18,129,597,93,279,90,335.57142857142856,508744.10204081633,345.0,998.0,115.5,90.0
42,9,120,138,282,186,0,4764,18,120,324,258,318,84,475.92857142857144,1426316.9234693877,291.0,1634.0,136.875,84.0
39,0,138,138,319,294,0,1416,0,39,27,159,330,82,212.92857142857142,124376.92346938777,93.0,485.0,157.25,82.0
18,18,138,105,393,465,0,93,0,204,0,102,249,81,133.28571428571428,20136.48979591836,51.0,99.0,173.25,81.0
21,27,87,45,330,348,0,30,0,9,69,48,195,64,90.92857142857143,12513.066326530612,58.5,13.0,131.625,64.0
21,27,9,90,216,108,0,27,9,111,96,51,225,48,74.14285714285714,4899.122448979592,73.5,49.0,87.0,48.0
0,13,18,99,147,108,0,9,18,84,18,51,213,34,58.0,3813.0,34.5,37.0,74.75,34.0
0,0,9,108,147,130,0,21,30,51,69,39,171,21,56.857142857142854,3207.2653061224487,54.0,34.0,70.625,21.0
4,0,66,108,229,117,0,42,174,84,87,30,69,19,73.5,4230.107142857142,58.5,100.0,74.125,19.0
18,18,66,94,225,156,0,39,9,27,63,72,162,18,69.07142857142857,4290.066326530612,67.5,25.0,92.375,18.0
18,18,78,150,168,81,0,48,9,27,48,126,63,13,60.5,2728.964285714286,87.0,28.0,72.0,13.0
63,18,36,54,117,81,0,66,9,93,9,42,39,9,45.42857142857143,1171.1020408163263,25.5,56.0,51.0,9.0
30,18,9,54,87,81,0,48,0,72,9,51,39,4,35.857142857142854,861.2653061224489,30.0,40.0,39.75,4.0
30,18,9,63,87,69,0,21,0,51,9,39,30,0,30.428571428571427,727.530612244898,24.0,24.0,38.25,0.0
19,9,9,63,97,54,0,42,0,21,9,9,33,4,26.357142857142858,754.5153061224487,9.0,21.0,35.5,4.0
39,45,9,58,51,81,0,18,9,63,9,0,42,9,30.928571428571427,647.2091836734693,4.5,30.0,40.625,9.0
45,45,31,84,30,27,0,9,54,54,27,18,9,4,31.214285714285715,508.4540816326531,22.5,39.0,33.875,4.0
57,45,18,9,129,36,0,0,54,9,45,30,9,0,31.5,1123.392857142857,37.5,21.0,37.875,0.0
60,27,9,45,147,36,0,9,18,9,27,18,18,4,30.5,1299.6785714285713,22.5,12.0,42.75,4.0
60,9,81,9,147,27,0,18,0,9,9,0,18,9,28.285714285714285,1596.4897959183677,4.5,9.0,43.875,9.0
39,18,90,9,114,18,0,0,0,9,9,9,9,9,23.785714285714285,1130.7397959183677,9.0,3.0,37.125,9.0
30,18,90,13,129,18,0,0,18,9,9,39,0,9,27.285714285714285,1294.4897959183675,24.0,9.0,37.25,9.0
48,9,76,9,162,9,0,9,9,0,0,42,0,18,27.928571428571427,1849.7806122448985,21.0,6.0,39.125,18.0
39,9,45,9,84,9,0,9,0,9,9,39,0,27,20.571428571428573,529.530612244898,24.0,6.0,24.375,27.0
30,4,0,0,45,9,0,0,0,9,18,18,0,13,10.428571428571429,171.24489795918365,18.0,3.0,11.0,13.0
