S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
9,0,45,0,9,0,0,0,0,0,39,18,9,0,9.923076923076923,217.9171597633136,28.5,0.0,9.0,0.0
9,0,45,0,9,0,0,0,0,0,0,69,63,4,15.0,614.7692307692308,34.5,0.0,15.75,4.0
4,0,180,0,0,0,0,0,0,33,0,60,33,9,23.846153846153847,2369.360946745563,30.0,11.0,27.125,9.0
0,0,180,0,0,9,0,0,0,42,48,9,9,4,22.846153846153847,2301.9763313609474,28.5,14.0,24.75,4.0
0,0,180,0,0,36,0,0,0,0,0,9,0,0,17.307692307692307,2298.674556213018,4.5,0.0,27.0,0.0
0,0,90,0,9,27,0,9,9,0,0,0,9,4,11.76923076923077,565.5621301775147,0.0,6.0,16.875,4.0
0,9,0,0,18,27,0,18,18,0,1236,9,9,9,103.38461538461539,106976.2366863905,622.5,12.0,7.875,9.0
0,9,0,0,9,13,0,0,9,9,9992,561,0,4,815.5384615384615,7039149.1715976335,5276.5,6.0,3.875,4.0
0,0,0,0,0,0,0,0,0,0,24453,402,156,0,1923.923076923077,42308916.0710059,12427.5,0.0,19.5,0.0
0,0,75,0,0,0,0,0,0,21,10431,2535,66,0,1009.8461538461538,7845011.360946742,6483.0,7.0,17.625,0.0
0,0,75,64,0,0,0,0,0,591,10431,2535,45,0,1057.0,7774521.230769231,6483.0,197.0,23.0,0.0
0,0,37,186,30,0,0,9,4,6711,14169,5523,9,0,2052.153846153846,17045484.130177516,9846.0,2241.3333333333335,32.75,0.0
0,0,0,168,21,0,0,30,39,5631,815,3738,9,0,803.9230769230769,2921107.455621301,2276.5,1900.0,24.75,0.0
0,0,0,273,9,28,0,39,120,5415,39318,3909,33,0,3780.3076923076924,108063122.52070999,21613.5,1858.0,42.875,0.0
10,18,18,276,27,93,0,99,387,4614,6492,5532,33,0,1353.7692307692307,5420004.639053255,6012.0,1700.0,59.375,0.0
39,18,18,276,27,81,0,174,252,1440,1779,3447,0,4,580.8461538461538,993361.2071005916,2613.0,622.0,57.375,4.0
27,9,18,352,58,99,0,159,180,729,1617,999,0,9,326.6923076923077,227119.44378698227,1308.0,356.0,70.375,9.0
9,0,55,381,54,99,0,141,285,273,1002,588,0,4,222.07692307692307,80402.37869822486,795.0,233.0,74.75,4.0
0,0,84,126,9,99,0,111,195,477,369,501,0,0,151.6153846153846,30693.621301775154,435.0,261.0,39.75,0.0
0,45,75,36,30,76,0,39,102,237,327,372,10,4,103.76923076923077,14549.562130177515,349.5,126.0,34.0,4.0
9,45,75,36,30,54,0,27,123,75,135,438,20,9,82.07692307692308,12093.76331360947,286.5,75.0,33.625,9.0
27,45,72,36,30,27,0,51,117,108,111,387,99,4,85.38461538461539,8917.775147928996,249.0,92.0,42.0,4.0
9,31,72,45,19,0,0,81,174,72,84,348,108,0,80.23076923076923,8213.562130177515,216.0,109.0,35.5,0.0
9,18,40,9,9,0,0,114,108,54,54,75,18,0,39.07692307692308,1442.8402366863909,64.5,92.0,12.875,0.0
9,0,72,0,126,0,0,60,63,0,75,69,27,0,38.53846153846154,1578.2485207100592,72.0,41.0,29.25,0.0
9,9,108,0,126,0,0,108,129,9,57,87,18,0,50.76923076923077,2594.023668639053,72.0,82.0,33.75,0.0
9,9,54,0,0,27,0,18,75,30,27,39,66,0,27.23076923076923,586.3313609467456,33.0,41.0,20.625,0.0
9,9,18,0,0,36,0,18,21,42,0,63,54,0,20.76923076923077,429.8698224852071,31.5,27.0,15.75,0.0
0,4,18,4,4,9,0,30,0,21,39,60,9,0,15.23076923076923,306.1775147928995,49.5,17.0,6.0,0.0
0,9,22,0,0,18,0,21,0,0,60,81,30,0,18.53846153846154,609.4792899408286,70.5,7.0,9.875,0.0
0,9,45,0,0,18,0,0,0,0,99,111,84,0,28.153846153846153,1638.7455621301772,105.0,0.0,19.5,0.0
0,9,18,0,0,9,0,0,9,42,39,30,54,0,16.153846153846153,328.8994082840237,34.5,17.0,11.25,0.0
0,0,9,0,0,0,0,18,18,51,18,18,42,0,13.384615384615385,262.54437869822493,18.0,29.0,6.375,0.0
0,0,9,18,0,0,0,18,9,0,18,18,9,39,7.615384615384615,60.3905325443787,18.0,9.0,4.5,39.0
0,0,9,36,4,18,0,30,0,9,48,72,9,78,18.076923076923077,462.9940828402365,60.0,13.0,9.5,78.0
0,0,4,22,0,9,0,42,117,0,48,21,0,39,20.23076923076923,1035.2544378698224,34.5,53.0,4.375,39.0
