S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
0,0,0,0,18,0,0,18,0,0,0,87,9,159,10.153846153846153,535.207100591716,43.5,6.0,3.375,159.0
0,0,0,9,9,0,0,0,9,9,9,162,9,79,16.615384615384617,1780.082840236687,85.5,6.0,3.375,79.0
0,0,0,9,0,0,0,0,21,9,9,75,0,0,9.461538461538462,395.7869822485206,42.0,10.0,1.125,0.0
0,39,0,13,0,0,0,0,0,9,0,0,21,4,6.3076923076923075,130.36686390532543,0.0,3.0,9.125,4.0
9,0,0,0,0,0,0,0,0,0,0,33,21,9,4.846153846153846,100.43786982248524,16.5,0.0,3.75,9.0
9,0,0,0,16,0,0,9,0,0,0,0,0,4,2.6153846153846154,25.313609467455628,0.0,3.0,3.125,4.0
0,0,0,0,33,0,0,9,0,0,0,0,0,0,3.230769230769231,79.5621301775148,0.0,3.0,4.125,0.0
0,0,0,0,0,0,0,0,9,0,69,441,0,0,39.92307692307692,13738.686390532543,255.0,3.0,0.0,0.0
0,0,0,0,0,0,0,57,0,0,51900,2661,0,0,4201.384615384615,190094072.69822478,27280.5,19.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,22742,174,0,0,1762.7692307692307,36679478.485207126,11458.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,78,58401,306,0,0,4521.923076923077,241919636.37869832,29353.5,26.0,0.0,0.0
9,9,0,0,0,0,0,0,0,378,19416,1404,0,0,1632.0,26497754.307692308,10410.0,126.0,2.25,0.0
9,9,0,0,0,0,0,0,9,3123,5253,120,0,0,655.6153846153846,2444151.621301775,2686.5,1044.0,2.25,0.0
21,0,0,27,78,0,0,0,189,3069,8682,87,0,0,934.8461538461538,5652711.05325444,4384.5,1086.0,15.75,0.0
21,0,0,27,99,0,0,0,1038,390,24759,5097,0,0,2417.769230769231,43402700.02366865,14928.0,476.0,18.375,0.0
30,0,0,48,39,0,0,0,690,5382,5967,1806,0,0,1074.0,4101406.6153846155,3886.5,2024.0,14.625,0.0
246,0,18,69,39,0,0,0,1026,3615,1824,2232,0,0,697.6153846153846,1243857.621301775,2028.0,1547.0,46.5,0.0
411,0,9,54,33,0,0,21,1074,3117,771,2436,0,0,609.6923076923077,979902.2130177515,1603.5,1404.0,63.375,0.0
327,0,18,54,27,0,0,21,1434,786,735,1143,0,0,349.61538461538464,234089.46745562126,939.0,747.0,53.25,0.0
150,18,9,96,51,4,0,9,870,468,336,774,9,0,214.92307692307693,86330.84023668639,555.0,449.0,42.125,0.0
150,18,0,138,60,9,0,9,606,207,45,531,18,0,137.76923076923077,37944.63905325444,288.0,274.0,49.125,0.0
162,13,0,129,9,9,0,51,135,156,45,342,9,21,81.53846153846153,9309.017751479292,193.5,114.0,41.375,21.0
69,9,0,120,9,9,0,66,36,57,84,267,0,42,55.84615384615385,5085.053254437871,175.5,53.0,27.0,42.0
93,138,18,69,9,0,0,111,63,114,45,156,0,25,62.76923076923077,2868.1775147928993,100.5,96.0,40.875,25.0
21,117,9,45,99,0,0,63,39,75,78,231,45,9,63.23076923076923,3588.1775147928993,154.5,59.0,42.0,9.0
60,18,0,54,117,0,0,9,30,87,30,258,0,9,51.0,4825.384615384615,144.0,42.0,31.125,9.0
60,18,0,27,18,66,0,9,21,117,0,195,0,9,40.84615384615385,3067.6686390532536,97.5,49.0,23.625,9.0
73,22,0,36,0,75,0,18,21,51,0,84,0,9,29.23076923076923,926.7928994082839,42.0,30.0,25.75,9.0
60,27,0,36,0,9,0,0,0,9,0,171,9,9,24.692307692307693,2090.98224852071,85.5,3.0,17.625,9.0
30,9,0,36,0,36,0,30,9,9,0,51,18,9,17.53846153846154,273.9408284023669,25.5,16.0,16.125,9.0
30,0,0,18,18,36,0,30,18,21,0,9,9,4,14.538461538461538,147.9408284023669,4.5,23.0,13.875,4.0
0,0,0,27,18,18,0,0,9,30,0,30,0,0,10.153846153846153,147.51479289940832,15.0,13.0,7.875,0.0
0,0,0,27,0,0,0,0,39,9,0,30,0,0,8.076923076923077,183.30177514792902,15.0,16.0,3.375,0.0
4,4,0,27,69,0,0,0,30,9,9,9,0,0,12.384615384615385,359.31360946745565,9.0,13.0,13.0,0.0
9,0,0,27,69,0,0,0,0,9,9,21,21,0,12.692307692307692,347.75147928994085,15.0,3.0,15.75,0.0
39,0,0,13,34,0,0,33,0,0,0,0,0,0,9.153846153846153,218.89940828402368,0.0,11.0,10.75,0.0
