S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
18,0,9,9,27,18,0,9,0,0,0,0,42,27,10.153846153846153,157.20710059171597,0.0,3.0,15.375,27.0
9,0,0,9,60,18,0,27,9,0,0,33,0,18,12.692307692307692,299.28994082840245,16.5,12.0,12.0,18.0
9,0,0,0,60,37,0,27,0,9,0,9,0,9,11.615384615384615,322.0828402366865,4.5,12.0,13.25,9.0
13,39,0,0,60,0,0,0,0,0,0,0,9,13,9.307692307692308,326.5207100591716,0.0,0.0,15.125,13.0
9,9,0,9,57,0,0,0,0,0,9,21,9,18,9.461538461538462,225.4792899408284,15.0,0.0,11.625,18.0
18,9,4,0,39,18,0,0,9,0,0,30,9,13,10.461538461538462,146.5562130177515,15.0,3.0,12.125,13.0
30,9,18,0,51,18,0,0,9,0,0,0,30,9,12.692307692307692,239.75147928994085,0.0,3.0,19.5,9.0
0,4,18,0,54,18,0,0,9,9,30,0,21,13,12.538461538461538,233.7869822485207,15.0,6.0,14.375,13.0
0,0,0,0,54,18,0,0,9,360,111,867,0,18,109.15384615384616,57080.13017751478,489.0,123.0,9.0,18.0
0,0,18,0,36,27,0,468,0,417,309,285,45,97,123.46153846153847,28910.556213017757,297.0,295.0,15.75,97.0
9,0,18,9,18,186,0,5355,0,459,327,720,45,177,549.6923076923077,1970874.2130177517,523.5,1938.0,35.625,177.0
27,0,9,9,36,168,0,7026,0,318,1419,198,120,559,717.6923076923077,3451331.2899408285,808.5,2448.0,46.125,559.0
9,0,0,63,138,441,0,1962,0,633,162,18,240,942,282.0,270620.3076923077,90.0,865.0,111.375,942.0
9,15,27,63,300,441,0,4452,9,684,135,30,363,744,502.15384615384613,1342350.74556213,82.5,1715.0,152.25,744.0
9,9,54,18,300,490,0,1578,9,1095,120,126,495,546,331.0,221053.84615384616,123.0,894.0,171.875,546.0
9,9,36,18,217,639,0,120,0,150,99,117,315,525,133.0,29757.69230769231,108.0,90.0,155.375,525.0
21,0,36,64,255,669,0,69,0,72,57,30,396,504,128.3846153846154,36542.69822485208,43.5,47.0,180.125,504.0
30,9,40,36,318,576,0,90,9,18,18,30,438,429,124.0,33727.846153846156,24.0,39.0,180.875,429.0
27,9,27,36,270,693,0,42,9,42,45,30,225,354,111.92307692307692,34638.07100591716,37.5,31.0,160.875,354.0
18,4,27,45,354,693,0,21,0,42,45,33,216,231,115.23076923076923,37539.869822485205,39.0,21.0,169.625,231.0
18,0,54,120,354,502,0,18,0,9,63,42,342,108,117.07692307692308,26143.917159763314,52.5,9.0,173.75,108.0
27,9,27,120,255,219,0,18,0,0,54,9,417,193,88.84615384615384,15655.207100591717,31.5,6.0,134.25,193.0
9,9,27,87,144,192,0,0,9,9,9,0,168,279,51.0,4670.307692307692,4.5,6.0,79.5,279.0
9,0,27,54,78,192,0,42,9,72,0,9,60,178,42.46153846153846,2611.1715976331366,4.5,41.0,52.5,178.0
60,0,18,147,147,147,0,42,9,54,18,0,159,78,61.61538461538461,3827.9289940828407,9.0,35.0,84.75,78.0
69,10,9,147,306,147,0,39,18,0,9,21,57,63,64.0,7243.384615384616,15.0,19.0,93.125,63.0
69,0,0,36,306,96,0,27,9,30,9,21,9,48,47.07692307692308,6339.301775147928,15.0,22.0,64.5,48.0
39,9,0,36,172,63,0,9,18,75,0,0,75,28,38.15384615384615,2244.7455621301774,0.0,34.0,49.25,28.0
18,9,0,31,96,45,0,0,9,42,18,0,108,9,28.923076923076923,1197.3017751479292,9.0,17.0,38.375,9.0
0,18,9,18,150,57,0,0,0,9,48,21,147,15,36.69230769230769,2570.0591715976334,34.5,3.0,49.875,15.0
30,18,9,18,84,126,0,18,0,9,39,21,96,21,36.0,1484.3076923076924,30.0,9.0,47.625,21.0
30,18,27,18,42,126,0,9,0,9,0,0,30,15,23.76923076923077,1048.792899408284,0.0,6.0,36.375,15.0
30,9,45,9,42,67,0,0,0,9,9,0,9,9,17.615384615384617,426.85207100591725,4.5,3.0,26.375,9.0
15,9,27,9,57,9,0,0,0,0,9,9,21,4,12.692307692307692,227.2899408284024,9.0,0.0,18.375,4.0
0,9,27,9,75,9,0,0,0,0,0,0,21,0,11.538461538461538,408.2485207100592,0.0,0.0,18.75,0.0
9,9,13,9,84,39,0,9,0,9,0,9,33,0,17.153846153846153,499.66863905325437,4.5,6.0,24.5,0.0
