Date_Time,Dp>0.3,Dp>0.5,Dp>1.0,Dp>2.5,Dp>5.0,Dp>10.0
2020-12-22 12:49:00,9,3,0,0,0,0
2020-12-22 12:49:10,9,3,0,0,0,0
2020-12-22 12:49:20,9,3,0,0,0,0
2020-12-22 12:49:30,9,3,0,0,0,0
2020-12-22 12:49:40,0,0,0,0,0,0
2020-12-22 12:49:50,0,0,0,0,0,0
2020-12-22 12:50:00,0,0,0,0,0,0
2020-12-22 12:50:10,18,6,0,0,0,0
2020-12-22 12:50:20,9,3,0,0,0,0
2020-12-22 12:50:30,0,0,0,0,0,0
2020-12-22 12:50:40,0,0,0,0,0,0
2020-12-22 12:50:50,0,0,0,0,0,0
2020-12-22 12:51:00,0,0,0,0,0,0
2020-12-22 12:51:10,9,3,0,0,0,0
2020-12-22 12:51:20,9,3,0,0,0,0
2020-12-22 12:51:30,42,14,0,0,0,0
2020-12-22 12:51:40,18,6,3,0,0,0
2020-12-22 12:51:50,9,3,3,0,0,0
2020-12-22 12:52:00,0,0,0,0,0,0
2020-12-22 12:52:10,0,0,0,0,0,0
2020-12-22 12:52:20,0,0,0,0,0,0
2020-12-22 12:52:30,0,0,0,0,0,0
2020-12-22 12:52:40,0,0,0,0,0,0
2020-12-22 12:52:50,0,0,0,0,0,0
2020-12-22 12:53:00,0,0,0,0,0,0
2020-12-22 12:53:10,0,0,0,0,0,0
2020-12-22 12:53:20,0,0,0,0,0,0
2020-12-22 12:53:30,0,0,0,0,0,0
2020-12-22 12:53:40,0,0,0,0,0,0
2020-12-22 12:53:50,9,3,0,0,0,0
2020-12-22 12:54:00,0,0,0,0,0,0
2020-12-22 12:54:10,0,0,0,0,0,0
2020-12-22 12:54:20,21,7,3,0,0,0
2020-12-22 12:54:30,0,0,0,0,0,0
2020-12-22 12:54:40,9,3,3,3,3,3
2020-12-22 12:54:50,0,0,0,0,0,0
2020-12-22 12:55:00,0,0,0,0,0,0
2020-12-22 12:55:10,0,0,0,0,0,0
2020-12-22 12:55:20,0,0,0,0,0,0
2020-12-22 12:55:30,0,0,0,0,0,0
2020-12-22 12:55:40,9,3,3,3,3,3
2020-12-22 12:55:50,0,0,0,0,0,0
2020-12-22 12:56:00,21,7,0,0,0,0
2020-12-22 12:56:10,21,7,0,0,0,0
2020-12-22 12:56:20,0,0,0,0,0,0
2020-12-22 12:56:30,0,0,0,0,0,0
2020-12-22 12:56:40,0,0,0,0,0,0
2020-12-22 12:56:50,9,3,0,0,0,0
2020-12-22 12:57:00,21,3,0,0,0,0
2020-12-22 12:57:10,21,3,0,0,0,0
2020-12-22 12:57:20,0,0,0,0,0,0
2020-12-22 12:57:30,0,0,0,0,0,0
2020-12-22 12:57:40,9,3,0,0,0,0
2020-12-22 12:57:50,0,0,0,0,0,0
2020-12-22 12:58:00,0,0,0,0,0,0
2020-12-22 12:58:10,0,0,0,0,0,0
2020-12-22 12:58:20,0,0,0,0,0,0
2020-12-22 12:58:30,0,0,0,0,0,0
2020-12-22 12:58:40,0,0,0,0,0,0
2020-12-22 12:58:50,0,0,0,0,0,0
2020-12-22 12:59:00,0,0,0,0,0,0
2020-12-22 12:59:10,9,3,0,0,0,0
2020-12-22 12:59:20,9,3,0,0,0,0
2020-12-22 12:59:30,0,0,0,0,0,0
2020-12-22 12:59:40,0,0,0,0,0,0
2020-12-22 12:59:50,0,0,0,0,0,0
2020-12-22 13:00:00,0,0,0,0,0,0
2020-12-22 13:00:10,18,6,0,0,0,0
2020-12-22 13:00:20,18,6,0,0,0,0
2020-12-22 13:00:30,18,3,0,0,0,0
2020-12-22 13:00:40,9,3,0,0,0,0
2020-12-22 13:00:50,9,3,0,0,0,0
2020-12-22 13:01:00,18,6,0,0,0,0
2020-12-22 13:01:10,9,3,0,0,0,0
2020-12-22 13:01:20,0,0,0,0,0,0
2020-12-22 13:01:30,18,6,0,0,0,0
2020-12-22 13:01:40,9,3,0,0,0,0
2020-12-22 13:01:50,0,0,0,0,0,0
2020-12-22 13:02:00,0,0,0,0,0,0
2020-12-22 13:02:10,0,0,0,0,0,0
2020-12-22 13:02:20,21,3,0,0,0,0
2020-12-22 13:02:30,9,3,0,0,0,0
2020-12-22 13:02:40,0,0,0,0,0,0
2020-12-22 13:02:50,21,3,0,0,0,0
2020-12-22 13:03:00,21,3,0,0,0,0
2020-12-22 13:03:10,9,3,0,0,0,0
2020-12-22 13:03:20,9,3,0,0,0,0
2020-12-22 13:03:30,18,3,0,0,0,0
2020-12-22 13:03:40,9,3,0,0,0,0
2020-12-22 13:03:50,39,13,0,0,0,0
2020-12-22 13:04:00,30,10,0,0,0,0
2020-12-22 13:04:10,0,0,0,0,0,0
2020-12-22 13:04:20,0,0,0,0,0,0
2020-12-22 13:04:30,21,7,0,0,0,0
2020-12-22 13:04:40,0,0,0,0,0,0
2020-12-22 13:04:50,0,0,0,0,0,0
2020-12-22 13:05:00,0,0,0,0,0,0
2020-12-22 13:05:10,0,0,0,0,0,0
2020-12-22 13:05:20,0,0,0,0,0,0
2020-12-22 13:05:30,21,3,0,0,0,0
2020-12-22 13:05:40,39,9,0,0,0,0
2020-12-22 13:05:50,9,3,0,0,0,0
2020-12-22 13:06:00,45,15,0,0,0,0
2020-12-22 13:06:10,0,0,0,0,0,0
2020-12-22 13:06:20,0,0,0,0,0,0
2020-12-22 13:06:30,0,0,0,0,0,0
2020-12-22 13:06:40,9,3,0,0,0,0
2020-12-22 13:06:50,9,3,0,0,0,0
2020-12-22 13:07:00,21,3,0,0,0,0
2020-12-22 13:07:10,0,0,0,0,0,0
2020-12-22 13:07:20,0,0,0,0,0,0
2020-12-22 13:07:30,18,6,0,0,0,0
2020-12-22 13:07:40,9,3,0,0,0,0
2020-12-22 13:07:50,0,0,0,0,0,0
2020-12-22 13:08:00,0,0,0,0,0,0
2020-12-22 13:08:10,3438,1069,350,61,15,0
2020-12-22 13:08:20,1980,632,179,25,3,0
2020-12-22 13:08:30,1704,541,177,34,9,6
2020-12-22 13:08:40,2502,773,241,55,21,14
2020-12-22 13:08:50,2847,896,267,44,0,0
2020-12-22 13:09:00,4764,1519,453,88,31,19
2020-12-22 13:09:10,1416,448,147,25,6,6
2020-12-22 13:09:20,93,31,6,0,0,0
2020-12-22 13:09:30,30,10,0,0,0,0
2020-12-22 13:09:40,27,9,0,0,0,0
2020-12-22 13:09:50,9,3,0,0,0,0
2020-12-22 13:10:00,21,7,0,0,0,0
2020-12-22 13:10:10,42,7,0,0,0,0
2020-12-22 13:10:20,39,3,0,0,0,0
2020-12-22 13:10:30,48,10,0,0,0,0
2020-12-22 13:10:40,66,19,0,0,0,0
2020-12-22 13:10:50,48,16,0,0,0,0
2020-12-22 13:11:00,21,7,0,0,0,0
2020-12-22 13:11:10,42,14,0,0,0,0
2020-12-22 13:11:20,18,6,0,0,0,0
2020-12-22 13:11:30,9,3,0,0,0,0
2020-12-22 13:11:40,0,0,0,0,0,0
2020-12-22 13:11:50,9,0,0,0,0,0
2020-12-22 13:12:00,18,3,3,3,3,0
2020-12-22 13:12:10,0,0,0,0,0,0
2020-12-22 13:12:20,0,0,0,0,0,0
2020-12-22 13:12:30,9,3,0,0,0,0
2020-12-22 13:12:40,9,3,0,0,0,0
2020-12-22 13:12:50,0,0,0,0,0,0
2020-12-22 13:13:00,0,0,0,0,0,0
2020-12-22 13:13:10,0,0,0,0,0,0
2020-12-22 13:13:20,9,3,0,0,0,0
2020-12-22 13:13:30,9,3,0,0,0,0
2020-12-22 13:13:40,18,6,3,0,0,0
2020-12-22 13:13:50,18,6,3,0,0,0
2020-12-22 13:14:00,21,7,0,0,0,0
2020-12-22 13:14:10,42,14,0,0,0,0
2020-12-22 13:14:20,21,7,0,0,0,0
2020-12-22 13:14:30,9,3,0,0,0,0
2020-12-22 13:14:40,9,3,0,0,0,0
2020-12-22 13:14:50,18,6,0,0,0,0
2020-12-22 13:15:00,9,3,0,0,0,0
2020-12-22 13:15:10,0,0,0,0,0,0
2020-12-22 13:15:20,0,0,0,0,0,0
2020-12-22 13:15:30,0,0,0,0,0,0
2020-12-22 13:15:40,0,0,0,0,0,0
2020-12-22 13:15:50,18,6,0,0,0,0
2020-12-22 13:16:00,9,3,0,0,0,0
2020-12-22 13:16:10,0,0,0,0,0,0
2020-12-22 13:16:20,0,0,0,0,0,0
2020-12-22 13:16:30,0,0,0,0,0,0
2020-12-22 13:16:40,1683,519,150,25,10,3
2020-12-22 13:16:50,2040,668,203,29,11,3
2020-12-22 13:17:00,2130,671,155,40,7,0
2020-12-22 13:17:10,1341,424,124,12,9,6
2020-12-22 13:17:20,4683,1455,411,81,23,9
2020-12-22 13:17:30,4017,1259,399,74,24,13
2020-12-22 13:17:40,252,76,28,6,3,3
2020-12-22 13:17:50,18,6,3,3,0,0
2020-12-22 13:18:00,9,3,3,3,3,3
2020-12-22 13:18:10,27,9,3,3,3,3
2020-12-22 13:18:20,27,9,0,0,0,0
2020-12-22 13:18:30,51,17,0,0,0,0
2020-12-22 13:18:40,21,7,0,0,0,0
2020-12-22 13:18:50,0,0,0,0,0,0
2020-12-22 13:19:00,9,3,0,0,0,0
2020-12-22 13:19:10,48,16,0,0,0,0
2020-12-22 13:19:20,21,7,0,0,0,0
2020-12-22 13:19:30,0,0,0,0,0,0
2020-12-22 13:19:40,21,7,0,0,0,0
2020-12-22 13:19:50,21,7,0,0,0,0
2020-12-22 13:20:00,30,10,3,0,0,0
2020-12-22 13:20:10,18,6,0,0,0,0
2020-12-22 13:20:20,18,6,0,0,0,0
2020-12-22 13:20:30,42,14,3,0,0,0
2020-12-22 13:20:40,18,6,0,0,0,0
2020-12-22 13:20:50,51,17,0,0,0,0
2020-12-22 13:21:00,42,14,0,0,0,0
2020-12-22 13:21:10,9,3,0,0,0,0
2020-12-22 13:21:20,30,6,0,0,0,0
2020-12-22 13:21:30,30,3,0,0,0,0
2020-12-22 13:21:40,9,0,0,0,0,0
2020-12-22 13:21:50,9,3,0,0,0,0
2020-12-22 13:22:00,9,3,0,0,0,0
2020-12-22 13:22:10,9,3,0,0,0,0
2020-12-22 13:22:20,9,3,0,0,0,0
2020-12-22 13:22:30,18,6,0,0,0,0
2020-12-22 13:22:40,54,14,0,0,0,0
2020-12-22 13:22:50,45,11,0,0,0,0
2020-12-22 13:23:00,0,0,0,0,0,0
2020-12-22 13:23:10,21,7,0,0,0,0
2020-12-22 13:23:20,39,13,0,0,0,0
2020-12-22 13:23:30,18,6,0,0,0,0
2020-12-22 13:23:40,9,3,0,0,0,0
2020-12-22 13:23:50,0,0,0,0,0,0
2020-12-22 13:24:00,0,0,0,0,0,0
2020-12-22 13:24:10,9,3,0,0,0,0
2020-12-22 13:24:20,18,6,0,0,0,0
2020-12-22 13:24:30,0,0,0,0,0,0
2020-12-22 13:24:40,18,6,3,0,0,0
2020-12-22 13:24:50,180,56,7,0,0,0
2020-12-22 13:25:00,0,0,0,0,0,0
2020-12-22 13:25:10,9,3,0,0,0,0
2020-12-22 13:25:20,9,3,0,0,0,0
2020-12-22 13:25:30,18,6,0,0,0,0
2020-12-22 13:25:40,27,9,0,0,0,0
2020-12-22 13:25:50,9,3,0,0,0,0
2020-12-22 13:26:00,0,0,0,0,0,0
2020-12-22 13:26:10,0,0,0,0,0,0
2020-12-22 13:26:20,0,0,0,0,0,0
2020-12-22 13:26:30,18,6,0,0,0,0
2020-12-22 13:26:40,9,3,0,0,0,0
2020-12-22 13:26:50,0,0,0,0,0,0
2020-12-22 13:27:00,18,6,0,0,0,0
2020-12-22 13:27:10,18,6,0,0,0,0
2020-12-22 13:27:20,0,0,0,0,0,0
2020-12-22 13:27:30,21,7,0,0,0,0
2020-12-22 13:27:40,9,3,0,0,0,0
2020-12-22 13:27:50,42,14,0,0,0,0
2020-12-22 13:28:00,51,17,0,0,0,0
2020-12-22 13:28:10,18,6,0,0,0,0
