Date_Time,S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance
2020-12-22 12:49:00,0.0,0.0,0.0,0.0,18.0,0.0,0.0,9.0,0.0,0.0,0.0,21.0,0.0,78.0,9.0,414.0
2020-12-22 12:49:01,0.0,0.9,0.0,0.0,18.0,0.0,0.0,9.0,0.0,0.0,0.9,18.9,0.0,78.0,8.978571428571428,412.38826530612243
2020-12-22 12:49:02,0.0,1.8,0.0,0.0,18.0,0.0,0.0,9.0,0.0,0.0,1.8,16.8,0.0,78.0,8.957142857142857,410.7765306122449
2020-12-22 12:49:03,0.0,2.7,0.0,0.0,18.0,0.0,0.0,9.0,0.0,0.0,2.7,14.7,0.0,78.0,8.935714285714287,409.16479591836736
2020-12-22 12:49:04,0.0,3.6,0.0,0.0,18.0,0.0,0.0,9.0,0.0,0.0,3.6,12.6,0.0,78.0,8.914285714285715,407.55306122448985
2020-12-22 12:49:05,0.0,4.5,0.0,0.0,18.0,0.0,0.0,9.0,0.0,0.0,4.5,10.5,0.0,78.0,8.892857142857142,405.9413265306123
2020-12-22 12:49:06,0.0,5.4,0.0,0.0,18.0,0.0,0.0,9.0,0.0,0.0,5.4,8.399999999999999,0.0,78.0,8.871428571428572,404.3295918367347
2020-12-22 12:49:07,0.0,6.3,0.0,0.0,18.0,0.0,0.0,9.0,0.0,0.0,6.3,6.299999999999999,0.0,78.0,8.850000000000001,402.7178571428572
2020-12-22 12:49:08,0.0,7.2,0.0,0.0,18.0,0.0,0.0,9.0,0.0,0.0,7.2,4.199999999999999,0.0,78.0,8.82857142857143,401.10612244897965
2020-12-22 12:49:09,0.0,8.1,0.0,0.0,18.0,0.0,0.0,9.0,0.0,0.0,8.1,2.099999999999998,0.0,78.0,8.807142857142857,399.49438775510214
2020-12-22 12:49:10,0.0,9.0,0.0,0.0,18.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,78.0,8.785714285714286,397.8826530612246
2020-12-22 12:49:11,0.9,9.0,0.0,0.0,17.1,0.0,0.0,9.0,0.0,10.2,9.9,0.0,0.0,75.1,9.371428571428572,432.74591836734703
2020-12-22 12:49:12,1.8,9.0,0.0,0.0,16.2,0.0,0.0,9.0,0.0,20.4,10.8,0.0,0.0,72.2,9.957142857142857,467.60918367346943
2020-12-22 12:49:13,2.7,9.0,0.0,0.0,15.3,0.0,0.0,9.0,0.0,30.599999999999998,11.7,0.0,0.0,69.3,10.542857142857143,502.4724489795919
2020-12-22 12:49:14,3.6,9.0,0.0,0.0,14.4,0.0,0.0,9.0,0.0,40.8,12.6,0.0,0.0,66.4,11.12857142857143,537.3357142857143
2020-12-22 12:49:15,4.5,9.0,0.0,0.0,13.5,0.0,0.0,9.0,0.0,51.0,13.5,0.0,0.0,63.5,11.714285714285715,572.1989795918367
2020-12-22 12:49:16,5.4,9.0,0.0,0.0,12.6,0.0,0.0,9.0,0.0,61.199999999999996,14.4,0.0,0.0,60.6,12.3,607.0622448979592
2020-12-22 12:49:17,6.3,9.0,0.0,0.0,11.7,0.0,0.0,9.0,0.0,71.39999999999999,15.3,0.0,0.0,57.7,12.885714285714286,641.9255102040817
2020-12-22 12:49:18,7.2,9.0,0.0,0.0,10.8,0.0,0.0,9.0,0.0,81.6,16.2,0.0,0.0,54.8,13.471428571428572,676.788775510204
2020-12-22 12:49:19,8.1,9.0,0.0,0.0,9.9,0.0,0.0,9.0,0.0,91.8,17.1,0.0,0.0,51.900000000000006,14.057142857142857,711.6520408163265
2020-12-22 12:49:20,9.0,9.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,102.0,18.0,0.0,0.0,49.0,14.642857142857142,746.5153061224489
2020-12-22 12:49:21,9.0,11.4,0.0,0.0,8.1,0.0,0.0,9.0,0.0,99.6,17.1,0.0,0.0,46.2,14.314285714285713,715.0867346938775
2020-12-22 12:49:22,9.0,13.8,0.0,0.0,7.2,0.0,0.0,9.0,0.0,97.2,16.2,0.0,0.0,43.4,13.985714285714286,683.658163265306
2020-12-22 12:49:23,9.0,16.2,0.0,0.0,6.3,0.0,0.0,9.0,0.0,94.8,15.3,0.0,0.0,40.6,13.657142857142857,652.2295918367346
