Date_Time,Dp>0.3,Dp>0.5,Dp>1.0,Dp>2.5,Dp>5.0,Dp>10.0
2020-12-22 12:49:00,78,22,0,0,0,0
2020-12-22 12:49:20,21,3,0,0,0,0
2020-12-22 12:49:40,0,0,0,0,0,0
2020-12-22 12:50:00,9,3,0,0,0,0
2020-12-22 12:50:20,0,0,0,0,0,0
2020-12-22 12:50:40,21,7,0,0,0,0
2020-12-22 12:51:00,9,3,0,0,0,0
2020-12-22 12:51:20,0,0,0,0,0,0
2020-12-22 12:51:40,54,7,0,0,0,0
2020-12-22 12:52:00,0,0,0,0,0,0
2020-12-22 12:52:20,9,0,0,0,0,0
2020-12-22 12:56:20,0,0,0,0,0,0
2020-12-22 12:56:40,9,3,0,0,0,0
2020-12-22 12:57:00,39,3,0,0,0,0
2020-12-22 12:57:20,21,7,0,0,0,0
2020-12-22 12:57:40,0,0,0,0,0,0
2020-12-22 12:58:00,9,3,0,0,0,0
2020-12-22 12:58:20,0,0,0,0,0,0
2020-12-22 12:58:40,0,0,0,0,0,0
2020-12-22 12:59:00,0,0,0,0,0,0
2020-12-22 12:59:20,0,0,0,0,0,0
2020-12-22 12:59:40,9,3,0,0,0,0
2020-12-22 13:00:00,0,0,0,0,0,0
2020-12-22 13:00:20,0,0,0,0,0,0
2020-12-22 13:00:40,0,0,0,0,0,0
2020-12-22 13:01:00,21,3,0,0,0,0
2020-12-22 13:01:20,0,0,0,0,0,0
2020-12-22 13:01:40,21,7,0,0,0,0
2020-12-22 13:02:20,9,3,0,0,0,0
2020-12-22 13:02:40,0,0,0,0,0,0
2020-12-22 13:03:00,0,0,0,0,0,0
2020-12-22 13:03:20,57,19,7,0,0,0
2020-12-22 13:03:40,9,3,0,0,0,0
2020-12-22 13:04:00,0,0,0,0,0,0
2020-12-22 13:04:20,0,0,0,0,0,0
2020-12-22 13:04:40,9,3,0,0,0,0
2020-12-22 13:05:00,9,3,0,0,0,0
2020-12-22 13:05:20,0,0,0,0,0,0
2020-12-22 13:05:40,9,3,0,0,0,0
2020-12-22 13:06:00,21,7,0,0,0,0
2020-12-22 13:06:20,18,6,0,0,0,0
2020-12-22 13:06:39,0,0,0,0,0,0
2020-12-22 13:06:59,21,7,0,0,0,0
2020-12-22 13:07:19,0,0,0,0,0,0
2020-12-22 13:07:39,0,0,0,0,0,0
2020-12-22 13:07:59,21,7,0,0,0,0
2020-12-22 13:08:19,30,10,0,0,0,0
2020-12-22 13:08:39,96,28,0,0,0,0
2020-12-22 13:08:59,84,28,0,0,0,0
2020-12-22 13:09:19,81,6,0,0,0,0
2020-12-22 13:09:39,48,6,0,0,0,0
2020-12-22 13:09:59,21,7,0,0,0,0
2020-12-22 13:10:19,18,6,0,0,0,0
2020-12-22 13:10:39,9,3,0,0,0,0
2020-12-22 13:10:59,0,0,0,0,0,0
2020-12-22 13:11:19,9,3,0,0,0,0
2020-12-22 13:11:39,0,0,0,0,0,0
2020-12-22 13:11:59,9,3,0,0,0,0
2020-12-22 13:12:19,9,3,0,0,0,0
2020-12-22 13:12:39,27,6,0,0,0,0
2020-12-22 13:12:59,0,0,0,0,0,0
2020-12-22 13:13:19,0,0,0,0,0,0
2020-12-22 13:13:39,0,0,0,0,0,0
2020-12-22 13:13:59,9,3,0,0,0,0
2020-12-22 13:14:19,0,0,0,0,0,0
2020-12-22 13:14:39,0,0,0,0,0,0
2020-12-22 13:14:59,9,0,0,0,0,0
2020-12-22 13:15:19,9,3,0,0,0,0
2020-12-22 13:15:39,0,0,0,0,0,0
2020-12-22 13:15:59,0,0,0,0,0,0
2020-12-22 13:16:19,51,14,0,0,0,0
2020-12-22 13:16:39,0,0,0,0,0,0
2020-12-22 13:16:59,69,23,0,0,0,0
2020-12-22 13:17:19,198,58,20,6,6,6
2020-12-22 13:17:39,183,61,7,0,0,0
2020-12-22 13:17:59,156,49,7,0,0,0
2020-12-22 13:18:19,0,0,0,0,0,0
2020-12-22 13:18:39,39,13,0,0,0,0
2020-12-22 13:18:59,18,3,0,0,0,0
2020-12-22 13:19:19,9,3,0,0,0,0
2020-12-22 13:19:39,18,6,0,0,0,0
2020-12-22 13:19:59,0,0,0,0,0,0
2020-12-22 13:20:19,21,7,0,0,0,0
2020-12-22 13:20:39,18,6,0,0,0,0
2020-12-22 13:20:59,9,3,0,0,0,0
2020-12-22 13:21:19,18,6,0,0,0,0
2020-12-22 13:21:39,0,0,0,0,0,0
2020-12-22 13:21:59,30,10,0,0,0,0
2020-12-22 13:22:19,0,0,0,0,0,0
2020-12-22 13:22:39,0,0,0,0,0,0
2020-12-22 13:22:59,0,0,0,0,0,0
2020-12-22 13:23:19,0,0,0,0,0,0
2020-12-22 13:23:39,9,3,0,0,0,0
2020-12-22 13:23:59,0,0,0,0,0,0
2020-12-22 13:24:19,0,0,0,0,0,0
2020-12-22 13:24:39,0,0,0,0,0,0
2020-12-22 13:24:59,27,3,0,0,0,0
2020-12-22 13:25:19,9,3,0,0,0,0
2020-12-22 13:25:39,9,3,0,0,0,0
2020-12-22 13:25:59,0,0,0,0,0,0
2020-12-22 13:26:19,9,3,0,0,0,0
2020-12-22 13:26:39,9,0,0,0,0,0
2020-12-22 13:26:59,18,6,0,0,0,0
2020-12-22 13:27:19,30,10,3,0,0,0
2020-12-22 13:27:39,9,3,0,0,0,0
2020-12-22 13:27:59,21,7,0,0,0,0
2020-12-22 13:28:19,51,17,0,0,0,0
2020-12-22 13:28:39,9,3,0,0,0,0
2020-12-22 13:28:59,27,6,0,0,0,0
2020-12-22 13:29:19,0,0,0,0,0,0
2020-12-22 13:29:39,30,10,0,0,0,0
2020-12-22 13:29:59,9,3,0,0,0,0
2020-12-22 13:30:19,21,3,0,0,0,0
2020-12-22 13:30:39,9,3,0,0,0,0
2020-12-22 13:30:59,9,0,0,0,0,0
2020-12-22 13:31:19,9,3,0,0,0,0
2020-12-22 13:31:39,0,0,0,0,0,0
2020-12-22 13:31:59,0,0,0,0,0,0
2020-12-22 13:32:19,0,0,0,0,0,0
2020-12-22 13:32:39,0,0,0,0,0,0
2020-12-22 13:32:59,0,0,0,0,0,0
2020-12-22 13:33:19,9,3,0,0,0,0
2020-12-22 13:33:39,0,0,0,0,0,0
2020-12-22 13:33:59,21,7,0,0,0,0
2020-12-22 13:34:19,18,6,0,0,0,0
2020-12-22 13:34:39,18,6,3,3,3,3
2020-12-22 13:34:59,114,38,10,0,0,0
2020-12-22 13:35:19,189,56,3,3,3,0
2020-12-22 13:35:39,69,19,6,3,3,3
2020-12-22 13:35:59,228,66,0,0,0,0
2020-12-22 13:36:19,45,15,0,0,0,0
2020-12-22 13:36:39,18,3,0,0,0,0
2020-12-22 13:36:59,57,19,3,0,0,0
2020-12-22 13:37:19,0,0,0,0,0,0
2020-12-22 13:37:39,9,3,0,0,0,0
2020-12-22 13:37:59,9,3,0,0,0,0
2020-12-22 13:38:19,33,7,0,0,0,0
2020-12-22 13:38:39,0,0,0,0,0,0
2020-12-22 13:38:59,27,6,6,6,6,6
2020-12-22 13:39:19,9,3,0,0,0,0
2020-12-22 13:39:39,9,3,0,0,0,0
2020-12-22 13:39:59,0,0,0,0,0,0
2020-12-22 13:40:19,18,6,0,0,0,0
2020-12-22 13:40:39,0,0,0,0,0,0
2020-12-22 13:40:59,9,3,3,0,0,0
2020-12-22 13:41:19,0,0,0,0,0,0
2020-12-22 13:41:39,9,0,0,0,0,0
2020-12-22 13:41:59,0,0,0,0,0,0
2020-12-22 13:42:19,0,0,0,0,0,0
2020-12-22 13:42:39,9,3,0,0,0,0
2020-12-22 13:42:59,0,0,0,0,0,0
2020-12-22 13:43:19,0,0,0,0,0,0
2020-12-22 13:43:39,9,0,0,0,0,0
2020-12-22 13:43:59,0,0,0,0,0,0
2020-12-22 13:44:19,9,3,0,0,0,0
2020-12-22 13:44:39,54,11,0,0,0,0
2020-12-22 13:44:59,366,103,7,3,3,3
2020-12-22 13:45:19,264,80,9,0,0,0
2020-12-22 13:45:39,321,100,3,0,0,0
2020-12-22 13:45:59,93,31,3,0,0,0
2020-12-22 13:46:19,30,10,0,0,0,0
2020-12-22 13:46:39,48,13,0,0,0,0
2020-12-22 13:46:59,27,6,3,3,3,3
2020-12-22 13:47:19,63,14,3,0,0,0
2020-12-22 13:47:39,33,3,0,0,0,0
2020-12-22 13:47:59,30,7,3,3,3,3
2020-12-22 13:48:19,0,0,0,0,0,0
2020-12-22 13:48:39,9,3,0,0,0,0
2020-12-22 13:48:59,0,0,0,0,0,0
2020-12-22 13:49:19,9,3,0,0,0,0
2020-12-22 13:49:39,9,3,0,0,0,0
2020-12-22 13:49:59,0,0,0,0,0,0
2020-12-22 13:50:19,9,3,0,0,0,0
2020-12-22 13:50:39,21,7,0,0,0,0
2020-12-22 13:50:59,9,3,0,0,0,0
2020-12-22 13:51:19,0,0,0,0,0,0
2020-12-22 13:51:39,27,6,0,0,0,0
2020-12-22 13:51:59,9,3,0,0,0,0
2020-12-22 13:52:19,18,6,0,0,0,0
2020-12-22 13:52:39,9,3,0,0,0,0
2020-12-22 13:52:59,18,0,0,0,0,0
2020-12-22 13:53:19,177,55,10,6,6,3
2020-12-22 13:53:39,942,275,56,13,3,3
2020-12-22 13:53:59,546,164,10,0,0,0
2020-12-22 13:54:19,504,149,35,3,0,0
2020-12-22 13:54:39,354,110,18,0,0,0
2020-12-22 13:54:59,108,33,0,0,0,0
2020-12-22 13:55:19,279,81,0,0,0,0
2020-12-22 13:55:39,78,26,0,0,0,0
2020-12-22 13:55:59,48,13,0,0,0,0
2020-12-22 13:56:19,9,3,0,0,0,0
2020-12-22 13:56:39,21,7,3,3,3,3
2020-12-22 13:56:59,9,3,0,0,0,0
2020-12-22 13:57:19,0,0,0,0,0,0
2020-12-22 13:57:39,0,0,0,0,0,0
2020-12-22 13:57:59,48,10,0,0,0,0
2020-12-22 13:58:19,0,0,0,0,0,0
2020-12-22 13:58:39,0,0,0,0,0,0
2020-12-22 13:58:59,9,0,0,0,0,0
2020-12-22 13:59:19,207,65,18,3,3,3
2020-12-22 13:59:39,810,247,28,3,3,3
2020-12-22 13:59:59,927,293,72,13,0,0
2020-12-22 14:00:19,567,178,37,6,0,0
2020-12-22 14:00:39,822,270,82,9,0,0
2020-12-22 14:00:59,330,91,9,3,3,3
2020-12-22 14:01:19,168,53,0,0,0,0
2020-12-22 14:01:39,96,28,3,0,0,0
2020-12-22 14:01:59,138,46,3,0,0,0
2020-12-22 14:02:19,39,13,3,0,0,0
2020-12-22 14:02:39,21,3,0,0,0,0
2020-12-22 14:02:59,27,9,0,0,0,0
2020-12-22 14:03:19,54,15,0,0,0,0
2020-12-22 14:03:39,9,3,0,0,0,0
2020-12-22 14:03:59,0,0,0,0,0,0
2020-12-22 14:04:19,0,0,0,0,0,0
2020-12-22 14:04:39,9,3,0,0,0,0
2020-12-22 14:04:59,18,6,0,0,0,0
2020-12-22 14:05:19,30,10,0,0,0,0
2020-12-22 14:05:39,0,0,0,0,0,0
2020-12-22 14:05:59,18,6,0,0,0,0
2020-12-22 14:06:19,30,6,0,0,0,0
2020-12-22 14:06:39,0,0,0,0,0,0
2020-12-22 14:06:59,9,3,0,0,0,0
2020-12-22 14:07:19,0,0,0,0,0,0
2020-12-22 14:07:39,0,0,0,0,0,0
2020-12-22 14:07:59,9,3,0,0,0,0
2020-12-22 14:08:19,39,9,0,0,0,0
2020-12-22 14:08:39,9,0,0,0,0,0
2020-12-22 14:08:59,18,6,0,0,0,0
2020-12-22 14:09:19,18,6,0,0,0,0
2020-12-22 14:09:39,0,0,0,0,0,0
2020-12-22 14:09:59,18,3,3,0,0,0
2020-12-22 14:10:19,0,0,0,0,0,0
2020-12-22 14:10:39,0,0,0,0,0,0
2020-12-22 14:10:59,0,0,0,0,0,0
2020-12-22 14:11:19,39,13,3,3,3,3
2020-12-22 14:11:39,0,0,0,0,0,0
2020-12-22 14:11:59,42,6,0,0,0,0
2020-12-22 14:12:19,9,3,0,0,0,0
2020-12-22 14:12:39,9,3,0,0,0,0
2020-12-22 14:12:59,30,10,6,6,6,6
2020-12-22 14:13:19,213,63,17,7,7,7
2020-12-22 14:13:39,9,3,3,3,3,3
2020-12-22 14:13:59,369,111,38,12,12,12
2020-12-22 14:14:19,81,27,9,6,6,3
2020-12-22 14:14:39,9,3,0,0,0,0
2020-12-22 14:14:59,0,0,0,0,0,0
2020-12-22 14:15:19,0,0,0,0,0,0
2020-12-22 14:15:39,0,0,0,0,0,0
2020-12-22 14:15:59,45,15,0,0,0,0
2020-12-22 14:16:19,0,0,0,0,0,0
2020-12-22 14:16:39,0,0,0,0,0,0
2020-12-22 14:16:59,0,0,0,0,0,0
2020-12-22 14:17:19,0,0,0,0,0,0
2020-12-22 14:17:39,54,18,0,0,0,0
2020-12-22 14:17:59,21,7,0,0,0,0
2020-12-22 14:18:19,0,0,0,0,0,0
2020-12-22 14:18:39,135,42,0,0,0,0
2020-12-22 14:18:59,348,89,6,3,3,0
2020-12-22 14:19:19,42,6,0,0,0,0
2020-12-22 14:19:39,36,12,3,0,0,0
2020-12-22 14:19:59,141,43,21,10,3,3
2020-12-22 14:20:19,192,53,13,3,3,0
2020-12-22 14:20:39,102,34,19,6,6,3
2020-12-22 14:20:59,45,15,0,0,0,0
2020-12-22 14:21:19,30,7,3,3,3,3
2020-12-22 14:21:39,93,31,6,6,6,6
2020-12-22 14:21:59,9,3,0,0,0,0
2020-12-22 14:22:19,99,33,3,3,3,3
2020-12-22 14:22:39,0,0,0,0,0,0
2020-12-22 14:22:59,9,3,3,3,3,0
2020-12-22 14:23:19,0,0,0,0,0,0
2020-12-22 14:23:39,1329,187,6,3,0,0
2020-12-22 14:23:59,1065,211,0,0,0,0
2020-12-22 14:24:19,762,107,0,0,0,0
2020-12-22 14:24:39,135,10,0,0,0,0
2020-12-22 14:24:59,114,6,0,0,0,0
2020-12-22 14:25:19,102,0,0,0,0,0
2020-12-22 14:25:39,117,7,0,0,0,0
2020-12-22 14:25:59,57,3,0,0,0,0
2020-12-22 14:26:19,0,0,0,0,0,0
2020-12-22 14:26:39,0,0,0,0,0,0
2020-12-22 14:26:59,0,0,0,0,0,0
2020-12-22 14:27:19,0,0,0,0,0,0
2020-12-22 14:27:39,0,0,0,0,0,0
2020-12-22 14:27:59,0,0,0,0,0,0
2020-12-22 14:28:19,45,0,0,0,0,0
2020-12-22 14:28:39,546,34,0,0,0,0
2020-12-22 14:28:59,201,21,0,0,0,0
2020-12-22 14:29:19,51,0,0,0,0,0
2020-12-22 14:29:39,45,0,0,0,0,0
2020-12-22 14:29:59,75,13,0,0,0,0
2020-12-22 14:30:19,159,13,0,0,0,0
2020-12-22 14:30:39,30,3,0,0,0,0
2020-12-22 14:30:59,0,0,0,0,0,0
2020-12-22 14:31:19,9,0,0,0,0,0
2020-12-22 14:31:39,27,0,0,0,0,0
2020-12-22 14:31:59,0,0,0,0,0,0
2020-12-22 14:32:19,0,0,0,0,0,0
2020-12-22 14:32:39,9,3,3,3,3,3
2020-12-22 14:32:59,0,0,0,0,0,0
2020-12-22 14:33:19,0,0,0,0,0,0
2020-12-22 14:37:20,21,7,0,0,0,0
2020-12-22 14:37:40,0,0,0,0,0,0
2020-12-22 14:38:20,0,0,0,0,0,0
2020-12-22 14:38:40,0,0,0,0,0,0
2020-12-22 14:39:00,0,0,0,0,0,0
2020-12-22 14:39:20,0,0,0,0,0,0
2020-12-22 14:39:40,27,9,3,3,3,0
2020-12-22 14:40:00,9,3,0,0,0,0
2020-12-22 14:40:20,0,0,0,0,0,0
2020-12-22 14:40:40,0,0,0,0,0,0
2020-12-22 14:41:00,21,7,0,0,0,0
2020-12-22 14:41:20,0,0,0,0,0,0
2020-12-22 14:41:40,0,0,0,0,0,0
2020-12-22 14:42:00,0,0,0,0,0,0
2020-12-22 14:42:20,0,0,0,0,0,0
2020-12-22 14:42:40,159,45,0,0,0,0
2020-12-22 14:43:00,0,0,0,0,0,0
2020-12-22 14:43:20,9,3,3,3,3,3
2020-12-22 14:43:40,0,0,0,0,0,0
2020-12-22 14:44:00,0,0,0,0,0,0
2020-12-22 14:44:20,0,0,0,0,0,0
2020-12-22 14:44:40,0,0,0,0,0,0
2020-12-22 14:45:00,0,0,0,0,0,0
2020-12-22 14:45:20,0,0,0,0,0,0
2020-12-22 14:45:40,0,0,0,0,0,0
2020-12-22 14:46:00,0,0,0,0,0,0
