S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
3.0,20.0,46.0,3.0,3.0,3.0,0.0,0.0,6.0,0.0,56.0,16.0,6.0,1.3333333333333333,12.461538461538462,493.42011834319527,36.0,2.0,10.5,1.3333333333333333
3.0,18.3,43.2,2.8333333333333335,3.1333333333333333,2.8333333333333335,0.0,0.3,5.7,0.3,52.7,17.3,7.8,1.3333333333333333,12.107692307692307,475.99013806706114,35.0,2.1,10.1375,1.3333333333333333
3.0,16.6,40.4,2.6666666666666665,3.2666666666666666,2.6666666666666665,0.0,0.6,5.4,0.6,49.4,18.6,9.6,1.3333333333333333,11.753846153846155,458.560157790927,34.0,2.2,9.775,1.3333333333333333
3.0,14.9,37.6,2.5,3.4,2.5,0.0,0.8999999999999999,5.1,0.8999999999999999,46.1,19.9,11.4,1.3333333333333333,11.4,441.1301775147929,33.0,2.3,9.4125,1.3333333333333333
3.0,13.2,34.8,2.333333333333333,3.533333333333333,2.333333333333333,0.0,1.2,4.8,1.2,42.8,21.2,13.2,1.3333333333333333,11.046153846153846,423.7001972386588,32.0,2.4,9.05,1.3333333333333333
3.0,11.5,32.0,2.1666666666666665,3.6666666666666665,2.1666666666666665,0.0,1.5,4.5,1.5,39.5,22.5,15.0,1.3333333333333333,10.692307692307693,406.27021696252467,31.0,2.5,8.6875,1.3333333333333333
3.0,9.8,29.200000000000003,2.0,3.8,2.0,0.0,1.7999999999999998,4.2,1.7999999999999998,36.2,23.8,16.8,1.3333333333333333,10.338461538461539,388.84023668639054,30.0,2.6,8.325,1.3333333333333333
3.0,8.1,26.400000000000002,1.8333333333333333,3.933333333333333,1.8333333333333333,0.0,2.1,3.9,2.1,32.900000000000006,25.1,18.6,1.3333333333333333,9.984615384615385,371.4102564102564,29.0,2.7,7.9625,1.3333333333333333
3.0,6.4,23.6,1.6666666666666665,4.066666666666666,1.6666666666666665,0.0,2.4,3.6,2.4,29.6,26.4,20.4,1.3333333333333333,9.630769230769232,353.9802761341223,28.0,2.8,7.6,1.3333333333333333
3.0,4.700000000000001,20.8,1.4999999999999998,4.199999999999999,1.4999999999999998,0.0,2.6999999999999997,3.3000000000000003,2.6999999999999997,26.3,27.700000000000003,22.2,1.3333333333333333,9.276923076923078,336.5502958579882,27.0,2.9,7.237500000000001,1.3333333333333333
3.0,3.0,18.0,1.3333333333333333,4.333333333333333,1.3333333333333333,0.0,3.0,3.0,3.0,23.0,29.0,24.0,1.3333333333333333,8.923076923076923,319.1203155818541,26.0,3.0,6.875,1.3333333333333333
3.1666666666666665,2.7,22.633333333333333,1.2,4.8999999999999995,1.7999999999999998,0.0,3.0,4.2,4.1,20.7,28.7,23.3,1.5,9.261538461538462,374.07928994082846,24.7,3.7666666666666666,7.4625,1.5
3.3333333333333335,2.4,27.266666666666666,1.0666666666666667,5.466666666666667,2.2666666666666666,0.0,3.0,5.4,5.2,18.4,28.4,22.6,1.6666666666666665,9.6,429.03826429980285,23.4,4.533333333333333,8.05,1.6666666666666665
3.5,2.1,31.9,0.9333333333333332,6.033333333333333,2.7333333333333334,0.0,3.0,6.6,6.300000000000001,16.1,28.1,21.9,1.8333333333333333,9.938461538461539,483.99723865877723,22.1,5.3,8.6375,1.8333333333333333
3.666666666666667,1.8,36.53333333333333,0.7999999999999999,6.6,3.2,0.0,3.0,7.8,7.4,13.8,27.8,21.2,2.0,10.276923076923078,538.9562130177517,20.8,6.066666666666666,9.225,2.0
3.8333333333333335,1.5,41.166666666666664,0.6666666666666666,7.166666666666666,3.666666666666667,0.0,3.0,9.0,8.5,11.5,27.5,20.5,2.166666666666667,10.615384615384617,593.915187376726,19.5,6.833333333333333,9.8125,2.166666666666667
4.0,1.2000000000000002,45.8,0.5333333333333332,7.7333333333333325,4.133333333333333,0.0,3.0,10.2,9.600000000000001,9.200000000000001,27.2,19.8,2.333333333333333,10.953846153846154,648.8741617357005,18.2,7.6,10.4,2.333333333333333
4.166666666666667,0.8999999999999999,50.43333333333333,0.3999999999999999,8.3,4.6,0.0,3.0,11.4,10.700000000000001,6.900000000000002,26.9,19.1,2.5,11.292307692307693,703.8331360946747,16.9,8.366666666666667,10.9875,2.5
4.333333333333334,0.6000000000000001,55.06666666666666,0.2666666666666666,8.866666666666667,5.066666666666666,0.0,3.0,12.6,11.8,4.600000000000001,26.6,18.4,2.666666666666667,11.630769230769232,758.7921104536492,15.6,9.133333333333333,11.575,2.666666666666667
4.5,0.30000000000000027,59.699999999999996,0.1333333333333333,9.433333333333334,5.533333333333333,0.0,3.0,13.799999999999999,12.9,2.3000000000000007,26.3,17.7,2.8333333333333335,11.96923076923077,813.7510848126235,14.299999999999999,9.899999999999999,12.162500000000001,2.8333333333333335
4.666666666666667,0.0,64.33333333333333,0.0,10.0,6.0,0.0,3.0,15.0,14.0,0.0,26.0,17.0,3.0,12.307692307692308,868.7100591715979,13.0,10.666666666666666,12.75,3.0
5.2,0.0,63.9,0.0,9.0,6.3,0.0,2.7,15.0,14.6,1.6,24.0,15.9,2.8333333333333335,12.16923076923077,865.5372781065091,12.8,10.766666666666666,12.5375,2.8333333333333335
5.733333333333333,0.0,63.46666666666666,0.0,8.0,6.6,0.0,2.4,15.0,15.2,3.2,22.0,14.8,2.6666666666666665,12.030769230769232,862.3644970414203,12.6,10.866666666666665,12.325,2.6666666666666665
6.2666666666666675,0.0,63.03333333333333,0.0,7.0,6.9,0.0,2.1,15.0,15.8,4.800000000000001,20.0,13.7,2.5,11.892307692307693,859.1917159763316,12.4,10.966666666666667,12.1125,2.5
6.800000000000001,0.0,62.599999999999994,0.0,6.0,7.2,0.0,1.8,15.0,16.4,6.4,18.0,12.6,2.333333333333333,11.753846153846155,856.0189349112428,12.2,11.066666666666666,11.9,2.333333333333333
7.333333333333334,0.0,62.166666666666664,0.0,5.0,7.5,0.0,1.5,15.0,17.0,8.0,16.0,11.5,2.1666666666666665,11.615384615384617,852.846153846154,12.0,11.166666666666666,11.6875,2.1666666666666665
7.866666666666667,0.0,61.733333333333334,0.0,4.0,7.8,0.0,1.2000000000000002,15.0,17.6,9.600000000000001,14.0,10.399999999999999,2.0,11.476923076923079,849.6733727810653,11.8,11.266666666666666,11.475,2.0
8.4,0.0,61.3,0.0,3.0,8.1,0.0,0.8999999999999999,15.0,18.2,11.200000000000001,12.0,9.299999999999999,1.8333333333333333,11.33846153846154,846.5005917159765,11.6,11.366666666666665,11.2625,1.8333333333333333
8.933333333333334,0.0,60.86666666666667,0.0,2.0,8.4,0.0,0.6000000000000001,15.0,18.8,12.8,10.0,8.2,1.6666666666666665,11.200000000000001,843.3278106508877,11.4,11.466666666666667,11.05,1.6666666666666665
9.466666666666667,0.0,60.43333333333333,0.0,1.0,8.7,0.0,0.30000000000000027,15.0,19.4,14.4,8.0,7.1,1.4999999999999998,11.061538461538463,840.155029585799,11.2,11.566666666666666,10.8375,1.4999999999999998
10.0,0.0,60.0,0.0,0.0,9.0,0.0,0.0,15.0,20.0,16.0,6.0,6.0,1.3333333333333333,10.923076923076925,836.9822485207102,11.0,11.666666666666666,10.625,1.3333333333333333
9.6,0.0,60.0,0.0,0.0,9.3,0.0,0.3,13.8,18.0,14.4,6.0,5.4,1.2,10.523076923076925,830.737278106509,10.2,10.7,10.5375,1.2
9.2,0.0,60.0,0.0,0.0,9.6,0.0,0.6,12.6,16.0,12.8,6.0,4.8,1.0666666666666667,10.123076923076924,824.4923076923078,9.4,9.733333333333333,10.45,1.0666666666666667
8.8,0.0,60.0,0.0,0.0,9.9,0.0,0.8999999999999999,11.4,14.0,11.2,6.0,4.2,0.9333333333333332,9.723076923076924,818.2473372781067,8.6,8.766666666666666,10.3625,0.9333333333333332
8.4,0.0,60.0,0.0,0.0,10.2,0.0,1.2,10.2,12.0,9.6,6.0,3.6,0.7999999999999999,9.323076923076924,812.0023668639054,7.8,7.8,10.275,0.7999999999999999
8.0,0.0,60.0,0.0,0.0,10.5,0.0,1.5,9.0,10.0,8.0,6.0,3.0,0.6666666666666666,8.923076923076923,805.7573964497043,7.0,6.833333333333333,10.1875,0.6666666666666666
7.6,0.0,60.0,0.0,0.0,10.8,0.0,1.7999999999999998,7.800000000000001,8.0,6.399999999999999,6.0,2.4000000000000004,0.5333333333333332,8.523076923076925,799.5124260355032,6.199999999999999,5.866666666666667,10.1,0.5333333333333332
7.199999999999999,0.0,60.0,0.0,0.0,11.1,0.0,2.1,6.6,6.0,4.799999999999999,6.0,1.7999999999999998,0.3999999999999999,8.123076923076923,793.2674556213019,5.3999999999999995,4.9,10.0125,0.3999999999999999
6.8,0.0,60.0,0.0,0.0,11.4,0.0,2.4,5.4,4.0,3.1999999999999993,6.0,1.2000000000000002,0.2666666666666666,7.723076923076923,787.0224852071008,4.6,3.9333333333333336,9.925,0.2666666666666666
6.4,0.0,60.0,0.0,0.0,11.7,0.0,2.6999999999999997,4.200000000000001,2.0,1.5999999999999996,6.0,0.6000000000000005,0.1333333333333333,7.323076923076923,780.7775147928995,3.8,2.966666666666667,9.8375,0.1333333333333333
6.0,0.0,60.0,0.0,0.0,12.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,0.0,6.9230769230769225,774.5325443786984,3.0,2.0,9.75,0.0
6.0,0.0,57.0,0.0,0.3,11.7,0.0,3.3,3.3,0.0,0.0,5.4,0.3,0.13333333333333333,6.715384615384615,716.6023668639054,2.7,2.2,9.4125,0.13333333333333333
6.0,0.0,54.0,0.0,0.6,11.4,0.0,3.6,3.6,0.0,0.0,4.8,0.6,0.26666666666666666,6.507692307692307,658.6721893491125,2.4,2.4,9.075,0.26666666666666666
6.0,0.0,51.0,0.0,0.8999999999999999,11.1,0.0,3.9,3.9,0.0,0.0,4.2,0.8999999999999999,0.4,6.299999999999999,600.7420118343196,2.1,2.6,8.7375,0.4
6.0,0.0,48.0,0.0,1.2,10.8,0.0,4.2,4.2,0.0,0.0,3.6,1.2,0.5333333333333333,6.092307692307692,542.8118343195267,1.8,2.8,8.4,0.5333333333333333
6.0,0.0,45.0,0.0,1.5,10.5,0.0,4.5,4.5,0.0,0.0,3.0,1.5,0.6666666666666666,5.884615384615384,484.8816568047338,1.5,3.0,8.0625,0.6666666666666666
6.0,0.0,42.0,0.0,1.7999999999999998,10.2,0.0,4.8,4.8,0.0,0.0,2.4000000000000004,1.7999999999999998,0.8,5.676923076923076,426.95147928994083,1.2000000000000002,3.2,7.725,0.8
6.0,0.0,39.0,0.0,2.1,9.9,0.0,5.1,5.1,0.0,0.0,1.7999999999999998,2.1,0.9333333333333333,5.4692307692307685,369.02130177514795,0.8999999999999999,3.4000000000000004,7.387499999999999,0.9333333333333333
6.0,0.0,36.0,0.0,2.4,9.6,0.0,5.4,5.4,0.0,0.0,1.2000000000000002,2.4,1.0666666666666667,5.261538461538461,311.091124260355,0.6000000000000001,3.6,7.05,1.0666666666666667
6.0,0.0,33.0,0.0,2.6999999999999997,9.3,0.0,5.699999999999999,5.699999999999999,0.0,0.0,0.6000000000000005,2.6999999999999997,1.2,5.053846153846154,253.16094674556211,0.30000000000000027,3.8,6.7125,1.2
6.0,0.0,30.0,0.0,3.0,9.0,0.0,6.0,6.0,0.0,0.0,0.0,3.0,1.3333333333333333,4.846153846153846,195.2307692307692,0.0,4.0,6.375,1.3333333333333333
5.4,0.3,27.3,0.0,3.6,9.0,0.0,6.3,6.0,0.0,41.2,183.9,3.0,1.6333333333333333,22.0,75528.63905325439,112.55,4.1,6.075,1.6333333333333333
4.8,0.6,24.6,0.0,4.2,9.0,0.0,6.6,6.0,0.0,82.4,367.8,3.0,1.9333333333333331,39.15384615384615,150862.04733727803,225.1,4.2,5.775,1.9333333333333331
4.2,0.8999999999999999,21.9,0.0,4.8,9.0,0.0,6.9,6.0,0.0,123.60000000000001,551.7,3.0,2.2333333333333334,56.30769230769231,226195.45562130163,337.65,4.3,5.475,2.2333333333333334
3.6,1.2,19.2,0.0,5.4,9.0,0.0,7.2,6.0,0.0,164.8,735.6,3.0,2.533333333333333,73.46153846153845,301528.86390532524,450.2,4.4,5.175,2.533333333333333
3.0,1.5,16.5,0.0,6.0,9.0,0.0,7.5,6.0,0.0,206.0,919.5,3.0,2.833333333333333,90.61538461538461,376862.2721893489,562.75,4.5,4.875,2.833333333333333
2.4000000000000004,1.7999999999999998,13.799999999999997,0.0,6.6,9.0,0.0,7.8,6.0,0.0,247.20000000000002,1103.4,3.0,3.133333333333333,107.76923076923076,452195.68047337246,675.3,4.6,4.575,3.133333333333333
1.7999999999999998,2.1,11.099999999999998,0.0,7.2,9.0,0.0,8.1,6.0,0.0,288.40000000000003,1287.3,3.0,3.4333333333333336,124.9230769230769,527529.0887573961,787.85,4.7,4.275,3.4333333333333336
1.2000000000000002,2.4,8.399999999999999,0.0,7.8,9.0,0.0,8.4,6.0,0.0,329.6,1471.2,3.0,3.7333333333333334,142.07692307692307,602862.4970414197,900.4,4.8,3.975,3.7333333333333334
0.6000000000000005,2.6999999999999997,5.699999999999999,0.0,8.399999999999999,9.0,0.0,8.7,6.0,0.0,370.8,1655.1000000000001,3.0,4.033333333333333,159.23076923076923,678195.9053254434,1012.9499999999999,4.9,3.6750000000000003,4.033333333333333
0.0,3.0,3.0,0.0,9.0,9.0,0.0,9.0,6.0,0.0,412.0,1839.0,3.0,4.333333333333333,176.38461538461536,753529.313609467,1125.5,5.0,3.375,4.333333333333333
0.0,3.0,3.0,0.0,8.7,8.533333333333333,0.0,8.4,5.7,0.3,704.4666666666667,2318.8,2.7,4.466666666666667,235.66153846153844,1797237.935305719,1511.6333333333332,4.8,3.2416666666666667,4.466666666666667
0.0,3.0,3.0,0.0,8.4,8.066666666666666,0.0,7.8,5.4,0.6,996.9333333333333,2798.6,2.4,4.6,294.9384615384615,2840946.557001971,1897.7666666666667,4.6,3.1083333333333334,4.6
0.0,3.0,3.0,0.0,8.1,7.6,0.0,7.2,5.1,0.8999999999999999,1289.3999999999999,3278.4,2.1,4.733333333333333,354.2153846153846,3884655.178698223,2283.9,4.4,2.975,4.733333333333333
0.0,3.0,3.0,0.0,7.8,7.133333333333333,0.0,6.6,4.8,1.2,1581.8666666666666,3758.2,1.8,4.866666666666666,413.4923076923077,4928363.800394475,2670.0333333333333,4.2,2.841666666666667,4.866666666666666
0.0,3.0,3.0,0.0,7.5,6.666666666666666,0.0,6.0,4.5,1.5,1874.3333333333333,4238.0,1.5,5.0,472.7692307692308,5972072.422090727,3056.1666666666665,4.0,2.708333333333333,5.0
0.0,3.0,3.0,0.0,7.2,6.2,0.0,5.4,4.2,1.7999999999999998,2166.7999999999997,4717.8,1.2000000000000002,5.133333333333333,532.0461538461539,7015781.043786979,3442.3,3.8,2.5749999999999997,5.133333333333333
0.0,3.0,3.0,0.0,6.9,5.733333333333333,0.0,4.8,3.9,2.1,2459.2666666666664,5197.6,0.8999999999999999,5.266666666666667,591.323076923077,8059489.665483231,3828.4333333333334,3.5999999999999996,2.4416666666666664,5.266666666666667
