S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
7.0,40.0,27.0,3.0,0.0,8.0,0.0,10.0,6.0,0.0,6.0,13.0,29.0,0.0,11.461538461538462,482.8757396449705,0.0,5.428571428571429,18.5,0.0
7.0,39.4,25.933333333333334,3.0,0.0,7.8,0.0,9.0,5.7,0.0,10.0,16.6,26.4,0.13333333333333333,11.602564102564102,541.8449704142013,0.0,6.347619047619048,17.755555555555556,0.0
7.0,38.8,24.866666666666667,3.0,0.0,7.6,0.0,8.0,5.4,0.0,14.0,20.2,23.8,0.26666666666666666,11.743589743589743,600.814201183432,0.0,7.266666666666667,17.011111111111113,0.0
7.0,38.2,23.8,3.0,0.0,7.4,0.0,7.0,5.1,0.0,18.0,23.8,21.2,0.4,11.884615384615385,659.7834319526628,0.0,8.185714285714287,16.266666666666666,0.0
7.0,37.6,22.733333333333334,3.0,0.0,7.2,0.0,6.0,4.8,0.0,22.0,27.4,18.6,0.5333333333333333,12.025641025641026,718.7526627218934,0.0,9.104761904761904,15.522222222222222,0.0
7.0,37.0,21.666666666666664,3.0,0.0,7.0,0.0,5.0,4.5,0.0,26.0,31.0,16.0,0.6666666666666666,12.166666666666666,777.7218934911242,0.0,10.023809523809524,14.777777777777779,0.0
7.0,36.4,20.599999999999998,3.0,0.0,6.8,0.0,4.0,4.2,0.0,30.0,34.6,13.399999999999999,0.8,12.307692307692307,836.691124260355,0.0,10.942857142857143,14.033333333333333,0.0
7.0,35.8,19.53333333333333,3.0,0.0,6.6,0.0,3.0,3.9,0.0,34.0,38.2,10.8,0.9333333333333333,12.448717948717947,895.6603550295856,0.0,11.86190476190476,13.288888888888888,0.0
7.0,35.2,18.466666666666665,3.0,0.0,6.4,0.0,2.0,3.6,0.0,38.0,41.8,8.2,1.0666666666666667,12.58974358974359,954.6295857988164,0.0,12.780952380952382,12.544444444444444,0.0
7.0,34.6,17.4,3.0,0.0,6.2,0.0,1.0,3.3000000000000003,0.0,42.0,45.4,5.599999999999998,1.2,12.73076923076923,1013.5988165680471,0.0,13.7,11.8,0.0
7.0,34.0,16.333333333333332,3.0,0.0,6.0,0.0,0.0,3.0,0.0,46.0,49.0,3.0,1.3333333333333333,12.87179487179487,1072.568047337278,0.0,14.619047619047619,11.055555555555555,0.0
7.1,31.6,15.433333333333332,3.0,0.4333333333333333,5.7,0.0,0.0,2.7,0.9,44.0,49.4,2.7,1.5,12.535897435897434,1013.6303747534515,0.0,14.5,10.494444444444444,0.0
7.2,29.2,14.533333333333331,3.0,0.8666666666666666,5.4,0.0,0.0,2.4,1.8,42.0,49.8,2.4,1.6666666666666665,12.2,954.6927021696251,0.0,14.380952380952381,9.933333333333334,0.0
7.3,26.8,13.633333333333333,3.0,1.2999999999999998,5.1,0.0,0.0,2.1,2.7,40.0,50.2,2.1,1.8333333333333333,11.864102564102563,895.7550295857986,0.0,14.261904761904761,9.372222222222222,0.0
7.4,24.4,12.733333333333333,3.0,1.7333333333333332,4.8,0.0,0.0,1.8,3.6,38.0,50.6,1.8,2.0,11.528205128205128,836.8173570019723,0.0,14.142857142857142,8.81111111111111,0.0
7.5,22.0,11.833333333333332,3.0,2.1666666666666665,4.5,0.0,0.0,1.5,4.5,36.0,51.0,1.5,2.166666666666667,11.192307692307692,777.8796844181459,0.0,14.023809523809524,8.25,0.0
7.6,19.6,10.933333333333332,3.0,2.5999999999999996,4.2,0.0,0.0,1.2000000000000002,5.4,34.0,51.4,1.2000000000000002,2.333333333333333,10.856410256410257,718.9420118343195,0.0,13.904761904761905,7.688888888888888,0.0
7.7,17.2,10.033333333333331,3.0,3.033333333333333,3.9,0.0,0.0,0.8999999999999999,6.3,32.0,51.8,0.8999999999999999,2.5,10.52051282051282,660.0043392504931,0.0,13.785714285714286,7.127777777777777,0.0
