S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
0.0,60.0,93.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,69.0,0.0,9.0,0.0,17.785714285714285,927.5969387755104,34.5,6.0,20.25,0.0
0.0,54.9,84.6,0.0,0.0,0.4,0.0,0.0,17.1,0.0,69.0,1.8,8.1,0.0,16.849999999999998,865.9045918367349,35.4,5.7,18.5,0.0
0.0,49.8,76.2,0.0,0.0,0.8,0.0,0.0,16.2,0.0,69.0,3.6,7.2,0.0,15.914285714285713,804.2122448979593,36.3,5.4,16.75,0.0
0.0,44.7,67.8,0.0,0.0,1.2000000000000002,0.0,0.0,15.3,0.0,69.0,5.4,6.3,0.0,14.978571428571428,742.5198979591838,37.2,5.1,15.0,0.0
0.0,39.6,59.4,0.0,0.0,1.6,0.0,0.0,14.4,0.0,69.0,7.2,5.4,0.0,14.042857142857143,680.8275510204082,38.1,4.8,13.25,0.0
0.0,34.5,51.0,0.0,0.0,2.0,0.0,0.0,13.5,0.0,69.0,9.0,4.5,0.0,13.107142857142858,619.1352040816328,39.0,4.5,11.5,0.0
0.0,29.400000000000002,42.599999999999994,0.0,0.0,2.4000000000000004,0.0,0.0,12.6,0.0,69.0,10.8,3.5999999999999996,0.0,12.17142857142857,557.4428571428573,39.9,4.2,9.75,0.0
0.0,24.300000000000004,34.199999999999996,0.0,0.0,2.8000000000000003,0.0,0.0,11.7,0.0,69.0,12.6,2.7,0.0,11.235714285714286,495.75051020408176,40.8,3.9,8.0,0.0
0.0,19.200000000000003,25.799999999999997,0.0,0.0,3.2,0.0,0.0,10.8,0.0,69.0,14.4,1.7999999999999998,0.0,10.3,434.05816326530623,41.7,3.6,6.25,0.0
0.0,14.100000000000001,17.39999999999999,0.0,0.0,3.6,0.0,0.0,9.9,0.0,69.0,16.2,0.9000000000000004,0.0,9.364285714285714,372.36581632653076,42.6,3.3000000000000003,4.5,0.0
0.0,9.0,9.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0,69.0,18.0,0.0,0.0,8.428571428571429,310.6734693877552,43.5,3.0,2.75,0.0
1.0,8.1,8.1,0.0,0.0,5.4,0.0,0.0,8.1,0.9,62.1,18.0,0.0,0.0,7.978571428571429,283.98418367346943,40.05,3.0,2.825,0.0
2.0,7.2,7.2,0.0,0.0,6.8,0.0,0.0,7.2,1.8,55.2,18.0,0.0,0.0,7.5285714285714285,257.29489795918374,36.6,3.0,2.9,0.0
3.0,6.3,6.3,0.0,0.0,8.2,0.0,0.0,6.3,2.7,48.3,18.0,0.0,0.0,7.078571428571429,230.605612244898,33.15,3.0,2.975,0.0
4.0,5.4,5.4,0.0,0.0,9.6,0.0,0.0,5.4,3.6,41.4,18.0,0.0,0.0,6.628571428571429,203.91632653061228,29.7,3.0,3.05,0.0
5.0,4.5,4.5,0.0,0.0,11.0,0.0,0.0,4.5,4.5,34.5,18.0,0.0,0.0,6.178571428571429,177.22704081632656,26.25,3.0,3.125,0.0
6.0,3.5999999999999996,3.5999999999999996,0.0,0.0,12.399999999999999,0.0,0.0,3.5999999999999996,5.4,27.599999999999994,18.0,0.0,0.0,5.728571428571429,150.53775510204082,22.799999999999997,3.0,3.2,0.0
7.0,2.7,2.7,0.0,0.0,13.799999999999999,0.0,0.0,2.7,6.3,20.699999999999996,18.0,0.0,0.0,5.2785714285714285,123.8484693877551,19.349999999999998,3.0,3.275,0.0
8.0,1.7999999999999998,1.7999999999999998,0.0,0.0,15.2,0.0,0.0,1.7999999999999998,7.2,13.799999999999997,18.0,0.0,0.0,4.828571428571429,97.15918367346939,15.899999999999999,3.0,3.35,0.0
9.0,0.9000000000000004,0.9000000000000004,0.0,0.0,16.6,0.0,0.0,0.9000000000000004,8.1,6.899999999999999,18.0,0.0,0.0,4.378571428571429,70.46989795918367,12.45,3.0,3.425,0.0
10.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,9.0,0.0,18.0,0.0,0.0,3.9285714285714284,43.78061224489795,9.0,3.0,3.5,0.0
11.1,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,9.9,0.0,17.1,0.0,0.0,4.007142857142857,45.53724489795918,8.55,3.3,3.6375,0.0
12.2,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,10.8,0.0,16.2,0.0,0.0,4.085714285714285,47.2938775510204,8.1,3.6,3.775,0.0
13.3,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,11.7,0.0,15.3,0.0,0.0,4.164285714285715,49.05051020408162,7.65,3.9,3.9125,0.0
14.4,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,12.6,0.0,14.4,0.0,0.0,4.242857142857143,50.80714285714284,7.2,4.2,4.05,0.0
15.5,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,13.5,0.0,13.5,0.0,0.0,4.321428571428571,52.56377551020407,6.75,4.5,4.1875,0.0
16.6,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,14.4,0.0,12.6,0.0,0.0,4.4,54.32040816326529,6.3,4.8,4.325,0.0
17.700000000000003,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,15.3,0.0,11.7,0.0,0.0,4.478571428571429,56.077040816326516,5.85,5.1,4.4625,0.0
18.8,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,16.2,0.0,10.8,0.0,0.0,4.557142857142857,57.83367346938773,5.4,5.4,4.6,0.0
19.9,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,17.1,0.0,9.9,0.0,0.0,4.635714285714286,59.59030612244896,4.95,5.699999999999999,4.7375,0.0
21.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,9.0,0.0,0.0,4.714285714285714,61.34693877551018,4.5,6.0,4.875,0.0
19.8,0.0,0.0,0.0,0.0,16.2,0.0,0.9,0.9,16.2,0.0,8.1,0.0,0.0,4.435714285714286,56.576020408163245,4.05,6.0,4.5,0.0
18.6,0.0,0.0,0.0,0.0,14.4,0.0,1.8,1.8,14.4,0.0,7.2,0.0,0.0,4.1571428571428575,51.80510204081631,3.6,6.0,4.125,0.0
17.4,0.0,0.0,0.0,0.0,12.6,0.0,2.7,2.7,12.6,0.0,6.3,0.0,0.0,3.8785714285714286,47.03418367346937,3.15,6.0,3.75,0.0
16.2,0.0,0.0,0.0,0.0,10.8,0.0,3.6,3.6,10.8,0.0,5.4,0.0,0.0,3.6,42.263265306122435,2.7,6.0,3.375,0.0
15.0,0.0,0.0,0.0,0.0,9.0,0.0,4.5,4.5,9.0,0.0,4.5,0.0,0.0,3.3214285714285716,37.4923469387755,2.25,6.0,3.0,0.0
13.8,0.0,0.0,0.0,0.0,7.199999999999999,0.0,5.4,5.4,7.199999999999999,0.0,3.5999999999999996,0.0,0.0,3.0428571428571427,32.72142857142856,1.7999999999999998,6.0,2.625,0.0
12.6,0.0,0.0,0.0,0.0,5.4,0.0,6.3,6.3,5.4,0.0,2.7,0.0,0.0,2.7642857142857142,27.950510204081624,1.35,6.0,2.25,0.0
11.4,0.0,0.0,0.0,0.0,3.5999999999999996,0.0,7.2,7.2,3.5999999999999996,0.0,1.7999999999999998,0.0,0.0,2.4857142857142858,23.179591836734687,0.8999999999999999,6.0,1.875,0.0
10.200000000000001,0.0,0.0,0.0,0.0,1.8000000000000007,0.0,8.1,8.1,1.8000000000000007,0.0,0.9000000000000004,0.0,0.0,2.2071428571428573,18.40867346938775,0.4500000000000002,6.0,1.5,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,1.9285714285714286,13.637755102040817,0.0,6.0,1.125,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,1.9285714285714286,13.637755102040817,0.0,6.0,1.125,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,1.9285714285714286,13.637755102040817,0.0,6.0,1.125,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,1.9285714285714286,13.637755102040817,0.0,6.0,1.125,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,1.9285714285714286,13.637755102040817,0.0,6.0,1.125,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,1.9285714285714286,13.637755102040817,0.0,6.0,1.125,0.0
