S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
18.0,0.0,22.0,9.0,18.0,9.0,0.0,0.0,0.0,0.0,9.0,18.0,18.0,4.0,8.928571428571429,65.9234693877551,13.5,0.0,11.75,4.0
18.0,0.0,20.7,9.0,17.1,9.0,0.0,0.0,0.0,0.9,9.0,18.0,18.0,4.5,8.871428571428572,63.33979591836735,13.5,0.3,11.475,4.5
18.0,0.0,19.4,9.0,16.2,9.0,0.0,0.0,0.0,1.8,9.0,18.0,18.0,5.0,8.814285714285715,60.756122448979596,13.5,0.6,11.2,5.0
18.0,0.0,18.1,9.0,15.3,9.0,0.0,0.0,0.0,2.7,9.0,18.0,18.0,5.5,8.757142857142858,58.172448979591834,13.5,0.8999999999999999,10.925,5.5
18.0,0.0,16.8,9.0,14.4,9.0,0.0,0.0,0.0,3.6,9.0,18.0,18.0,6.0,8.700000000000001,55.58877551020408,13.5,1.2,10.65,6.0
18.0,0.0,15.5,9.0,13.5,9.0,0.0,0.0,0.0,4.5,9.0,18.0,18.0,6.5,8.642857142857142,53.005102040816325,13.5,1.5,10.375,6.5
18.0,0.0,14.2,9.0,12.6,9.0,0.0,0.0,0.0,5.4,9.0,18.0,18.0,7.0,8.585714285714285,50.42142857142857,13.5,1.7999999999999998,10.1,7.0
18.0,0.0,12.9,9.0,11.7,9.0,0.0,0.0,0.0,6.3,9.0,18.0,18.0,7.5,8.528571428571428,47.837755102040816,13.5,2.1,9.825,7.5
18.0,0.0,11.6,9.0,10.8,9.0,0.0,0.0,0.0,7.2,9.0,18.0,18.0,8.0,8.471428571428572,45.254081632653055,13.5,2.4,9.55,8.0
18.0,0.0,10.299999999999999,9.0,9.9,9.0,0.0,0.0,0.0,8.1,9.0,18.0,18.0,8.5,8.414285714285715,42.67040816326531,13.5,2.6999999999999997,9.275,8.5
18.0,0.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,9.0,9.0,18.0,18.0,9.0,8.357142857142858,40.086734693877546,13.5,3.0,9.0,9.0
21.3,0.0,8.1,9.9,12.9,9.0,0.0,0.0,2.1,9.0,8.1,16.2,16.2,8.5,8.664285714285715,64.78826530612244,12.15,3.7,9.675,8.5
24.6,0.0,7.2,10.8,16.8,9.0,0.0,0.0,4.2,9.0,7.2,14.4,14.4,8.0,8.971428571428572,89.48979591836732,10.8,4.4,10.35,8.0
27.9,0.0,6.3,11.7,20.7,9.0,0.0,0.0,6.300000000000001,9.0,6.3,12.6,12.6,7.5,9.278571428571428,114.19132653061222,9.45,5.1,11.025,7.5
31.2,0.0,5.4,12.6,24.6,9.0,0.0,0.0,8.4,9.0,5.4,10.8,10.8,7.0,9.585714285714285,138.8928571428571,8.1,5.8,11.7,7.0
34.5,0.0,4.5,13.5,28.5,9.0,0.0,0.0,10.5,9.0,4.5,9.0,9.0,6.5,9.892857142857142,163.594387755102,6.75,6.5,12.375,6.5
37.8,0.0,3.5999999999999996,14.4,32.4,9.0,0.0,0.0,12.600000000000001,9.0,3.5999999999999996,7.199999999999999,7.199999999999999,6.0,10.2,188.29591836734687,5.399999999999999,7.199999999999999,13.05,6.0
41.099999999999994,0.0,2.7,15.3,36.3,9.0,0.0,0.0,14.700000000000001,9.0,2.7,5.4,5.4,5.5,10.507142857142858,212.99744897959175,4.049999999999999,7.8999999999999995,13.725000000000001,5.5
44.4,0.0,1.7999999999999998,16.2,40.2,9.0,0.0,0.0,16.8,9.0,1.7999999999999998,3.5999999999999996,3.5999999999999996,5.0,10.814285714285715,237.69897959183663,2.6999999999999993,8.6,14.4,5.0
47.7,0.0,0.9000000000000004,17.1,44.1,9.0,0.0,0.0,18.900000000000002,9.0,0.9000000000000004,1.8000000000000007,1.8000000000000007,4.5,11.121428571428572,262.4005102040815,1.3499999999999996,9.3,15.075,4.5
51.0,0.0,0.0,18.0,48.0,9.0,0.0,0.0,21.0,9.0,0.0,0.0,0.0,4.0,11.428571428571429,287.1020408163264,0.0,10.0,15.75,4.0
51.0,0.0,0.0,18.0,48.0,8.5,0.0,0.0,21.0,8.1,1.8,0.9,0.0,3.6,11.492857142857144,287.3270408163264,1.35,9.7,15.6875,3.6
51.0,0.0,0.0,18.0,48.0,8.0,0.0,0.0,21.0,7.2,3.6,1.8,0.0,3.2,11.557142857142857,287.55204081632644,2.7,9.4,15.625,3.2
51.0,0.0,0.0,18.0,48.0,7.5,0.0,0.0,21.0,6.3,5.4,2.7,0.0,2.8,11.621428571428572,287.77704081632646,4.050000000000001,9.1,15.5625,2.8
51.0,0.0,0.0,18.0,48.0,7.0,0.0,0.0,21.0,5.4,7.2,3.6,0.0,2.4,11.685714285714285,288.0020408163265,5.4,8.8,15.5,2.4
51.0,0.0,0.0,18.0,48.0,6.5,0.0,0.0,21.0,4.5,9.0,4.5,0.0,2.0,11.75,288.2270408163265,6.75,8.5,15.4375,2.0
51.0,0.0,0.0,18.0,48.0,6.0,0.0,0.0,21.0,3.5999999999999996,10.8,5.4,0.0,1.5999999999999996,11.814285714285715,288.4520408163265,8.100000000000001,8.2,15.375,1.5999999999999996
51.0,0.0,0.0,18.0,48.0,5.5,0.0,0.0,21.0,2.7,12.6,6.3,0.0,1.1999999999999997,11.878571428571428,288.6770408163265,9.450000000000001,7.9,15.3125,1.1999999999999997
51.0,0.0,0.0,18.0,48.0,5.0,0.0,0.0,21.0,1.7999999999999998,14.4,7.2,0.0,0.7999999999999998,11.942857142857143,288.9020408163265,10.8,7.6,15.25,0.7999999999999998
51.0,0.0,0.0,18.0,48.0,4.5,0.0,0.0,21.0,0.9000000000000004,16.2,8.1,0.0,0.3999999999999999,12.007142857142856,289.12704081632654,12.15,7.300000000000001,15.1875,0.3999999999999999
51.0,0.0,0.0,18.0,48.0,4.0,0.0,0.0,21.0,0.0,18.0,9.0,0.0,0.0,12.071428571428571,289.35204081632656,13.5,7.0,15.125,0.0
48.9,0.9,1.8,18.0,47.4,3.6,0.0,0.9,21.0,0.0,17.1,9.0,0.0,0.4,12.071428571428571,275.08061224489796,13.05,7.3,15.075,0.4
46.8,1.8,3.6,18.0,46.8,3.2,0.0,1.8,21.0,0.0,16.2,9.0,0.0,0.8,12.071428571428571,260.8091836734694,12.6,7.6,15.025,0.8
44.7,2.7,5.4,18.0,46.2,2.8,0.0,2.7,21.0,0.0,15.3,9.0,0.0,1.2000000000000002,12.071428571428571,246.53775510204082,12.15,7.9,14.975,1.2000000000000002
42.6,3.6,7.2,18.0,45.6,2.4,0.0,3.6,21.0,0.0,14.4,9.0,0.0,1.6,12.071428571428571,232.26632653061228,11.7,8.2,14.925,1.6
40.5,4.5,9.0,18.0,45.0,2.0,0.0,4.5,21.0,0.0,13.5,9.0,0.0,2.0,12.071428571428571,217.99489795918367,11.25,8.5,14.875,2.0
38.4,5.4,10.8,18.0,44.4,1.5999999999999996,0.0,5.4,21.0,0.0,12.6,9.0,0.0,2.4000000000000004,12.071428571428571,203.7234693877551,10.8,8.8,14.825,2.4000000000000004
36.3,6.3,12.6,18.0,43.8,1.1999999999999997,0.0,6.3,21.0,0.0,11.7,9.0,0.0,2.8000000000000003,12.071428571428571,189.45204081632653,10.35,9.1,14.775,2.8000000000000003
34.2,7.2,14.4,18.0,43.2,0.7999999999999998,0.0,7.2,21.0,0.0,10.8,9.0,0.0,3.2,12.071428571428571,175.18061224489796,9.9,9.4,14.725,3.2
32.099999999999994,8.1,16.2,18.0,42.6,0.3999999999999999,0.0,8.1,21.0,0.0,9.9,9.0,0.0,3.6,12.071428571428571,160.90918367346939,9.45,9.7,14.675,3.6
30.0,9.0,18.0,18.0,42.0,0.0,0.0,9.0,21.0,0.0,9.0,9.0,0.0,4.0,12.071428571428571,146.6377551020408,9.0,10.0,14.625,4.0
27.9,9.0,18.0,17.1,39.6,0.0,0.0,8.1,19.8,0.0,8.1,9.9,0.0,4.5,11.571428571428571,136.8091836734694,9.0,9.3,13.95,4.5
25.8,9.0,18.0,16.2,37.2,0.0,0.0,7.2,18.6,0.0,7.2,10.8,0.0,5.0,11.071428571428571,126.98061224489796,9.0,8.6,13.275,5.0
23.7,9.0,18.0,15.3,34.8,0.0,0.0,6.3,17.4,0.0,6.3,11.7,0.0,5.5,10.571428571428571,117.15204081632653,9.0,7.9,12.6,5.5
21.6,9.0,18.0,14.4,32.4,0.0,0.0,5.4,16.2,0.0,5.4,12.6,0.0,6.0,10.071428571428571,107.3234693877551,9.0,7.2,11.925,6.0
19.5,9.0,18.0,13.5,30.0,0.0,0.0,4.5,15.0,0.0,4.5,13.5,0.0,6.5,9.571428571428571,97.49489795918367,9.0,6.5,11.25,6.5
17.4,9.0,18.0,12.6,27.6,0.0,0.0,3.5999999999999996,13.8,0.0,3.5999999999999996,14.4,0.0,7.0,9.071428571428571,87.66632653061225,9.0,5.800000000000001,10.575,7.0
15.299999999999999,9.0,18.0,11.7,25.2,0.0,0.0,2.7,12.6,0.0,2.7,15.3,0.0,7.5,8.571428571428571,77.83775510204082,9.0,5.1000000000000005,9.899999999999999,7.5
13.2,9.0,18.0,10.8,22.8,0.0,0.0,1.7999999999999998,11.4,0.0,1.7999999999999998,16.2,0.0,8.0,8.071428571428571,68.0091836734694,9.0,4.4,9.225,8.0
11.099999999999998,9.0,18.0,9.9,20.400000000000002,0.0,0.0,0.9000000000000004,10.200000000000001,0.0,0.9000000000000004,17.1,0.0,8.5,7.571428571428571,58.18061224489797,9.0,3.7,8.55,8.5
9.0,9.0,18.0,9.0,18.0,0.0,0.0,0.0,9.0,0.0,0.0,18.0,0.0,9.0,7.071428571428571,48.35204081632653,9.0,3.0,7.875,9.0
9.9,9.0,18.0,8.1,18.9,0.9,0.0,0.9,9.0,3.3,208.5,31.5,0.9,11.2,23.57857142857143,28326.386224489794,120.0,4.4,8.2125,11.2
10.8,9.0,18.0,7.2,19.8,1.8,0.0,1.8,9.0,6.6,417.0,45.0,1.8,13.4,40.08571428571428,56604.420408163256,231.0,5.8,8.55,13.4
11.7,9.0,18.0,6.3,20.7,2.7,0.0,2.7,9.0,9.899999999999999,625.5,58.5,2.7,15.600000000000001,56.59285714285714,84882.45459183672,342.0,7.199999999999999,8.8875,15.600000000000001
12.6,9.0,18.0,5.4,21.6,3.6,0.0,3.6,9.0,13.2,834.0,72.0,3.6,17.8,73.1,113160.4887755102,453.0,8.6,9.225,17.8
13.5,9.0,18.0,4.5,22.5,4.5,0.0,4.5,9.0,16.5,1042.5,85.5,4.5,20.0,89.60714285714285,141438.52295918367,564.0,10.0,9.5625,20.0
14.4,9.0,18.0,3.5999999999999996,23.4,5.4,0.0,5.4,9.0,19.799999999999997,1251.0,99.0,5.4,22.200000000000003,106.11428571428571,169716.5571428571,675.0,11.399999999999999,9.9,22.200000000000003
15.3,9.0,18.0,2.7,24.3,6.3,0.0,6.3,9.0,23.099999999999998,1459.5,112.5,6.3,24.400000000000002,122.62142857142857,197994.5913265306,786.0,12.799999999999999,10.2375,24.400000000000002
16.2,9.0,18.0,1.7999999999999998,25.2,7.2,0.0,7.2,9.0,26.4,1668.0,126.0,7.2,26.6,139.12857142857143,226272.62551020406,897.0,14.2,10.575,26.6
17.1,9.0,18.0,0.9000000000000004,26.1,8.1,0.0,8.1,9.0,29.7,1876.5,139.5,8.1,28.8,155.6357142857143,254550.65969387753,1008.0,15.6,10.9125,28.8
18.0,9.0,18.0,0.0,27.0,9.0,0.0,9.0,9.0,33.0,2085.0,153.0,9.0,31.0,172.14285714285714,282828.693877551,1119.0,17.0,11.25,31.0
18.0,9.0,16.2,0.0,25.2,9.0,0.0,237.9,8.1,71.4,3012.6,184.8,9.0,33.3,259.60714285714283,1107487.069897959,1598.7,105.8,10.8,33.3
18.0,9.0,14.4,0.0,23.4,9.0,0.0,466.8,7.2,109.8,3940.2,216.6,9.0,35.6,347.07142857142856,1932145.4459183672,2078.4,194.6,10.35,35.6
18.0,9.0,12.6,0.0,21.6,9.0,0.0,695.7,6.3,148.2,4867.8,248.4,9.0,37.9,434.5357142857142,2756803.8219387755,2558.1,283.4,9.9,37.9
18.0,9.0,10.8,0.0,19.8,9.0,0.0,924.6,5.4,186.6,5795.4,280.2,9.0,40.2,522.0,3581462.1979591837,3037.8,372.2,9.45,40.2
18.0,9.0,9.0,0.0,18.0,9.0,0.0,1153.5,4.5,225.0,6723.0,312.0,9.0,42.5,609.4642857142857,4406120.573979592,3517.5,461.0,9.0,42.5
18.0,9.0,7.199999999999999,0.0,16.2,9.0,0.0,1382.4,3.5999999999999996,263.4,7650.6,343.8,9.0,44.8,696.9285714285713,5230778.949999999,3997.2,549.8,8.55,44.8
18.0,9.0,5.4,0.0,14.4,9.0,0.0,1611.3,2.7,301.8,8578.2,375.6,9.0,47.099999999999994,784.3928571428571,6055437.3260204075,4476.9,638.6,8.1,47.099999999999994
18.0,9.0,3.5999999999999996,0.0,12.6,9.0,0.0,1840.2,1.7999999999999998,340.2,9505.8,407.4,9.0,49.4,871.8571428571428,6880095.702040816,4956.6,727.4,7.65,49.4
18.0,9.0,1.8000000000000007,0.0,10.8,9.0,0.0,2069.1,0.9000000000000004,378.59999999999997,10433.4,439.2,9.0,51.7,959.3214285714284,7704754.078061224,5436.3,816.1999999999999,7.2,51.7
18.0,9.0,0.0,0.0,9.0,9.0,0.0,2298.0,0.0,417.0,11361.0,471.0,9.0,54.0,1046.7857142857142,8529412.454081632,5916.0,905.0,6.75,54.0
16.2,9.6,0.0,0.9,9.9,9.0,0.0,2232.0,0.0,493.8,10374.0,499.2,9.0,69.6,980.2285714285714,7711383.4255102035,5436.6,908.6,6.825,69.6
14.4,10.2,0.0,1.8,10.8,9.0,0.0,2166.0,0.0,570.6,9387.0,527.4,9.0,85.2,913.6714285714286,6893354.396938775,4957.2,912.2,6.9,85.2
12.6,10.8,0.0,2.7,11.7,9.0,0.0,2100.0,0.0,647.4,8400.0,555.6,9.0,100.8,847.1142857142856,6075325.368367347,4477.8,915.8,6.975,100.8
10.8,11.4,0.0,3.6,12.6,9.0,0.0,2034.0,0.0,724.2,7413.0,583.8,9.0,116.4,780.5571428571428,5257296.339795918,3998.4,919.4,7.05,116.4
9.0,12.0,0.0,4.5,13.5,9.0,0.0,1968.0,0.0,801.0,6426.0,612.0,9.0,132.0,714.0,4439267.3112244895,3519.0,923.0,7.125,132.0
7.199999999999999,12.6,0.0,5.4,14.4,9.0,0.0,1902.0,0.0,877.8,5439.0,640.2,9.0,147.6,647.4428571428571,3621238.2826530617,3039.6000000000004,926.6,7.2,147.6
5.4,13.2,0.0,6.3,15.3,9.0,0.0,1836.0,0.0,954.6,4452.0,668.4,9.0,163.2,580.8857142857142,2803209.254081633,2560.2000000000003,930.2,7.275,163.2
3.5999999999999996,13.8,0.0,7.2,16.2,9.0,0.0,1770.0,0.0,1031.4,3465.0,696.6,9.0,178.8,514.3285714285714,1985180.2255102042,2080.8,933.8,7.35,178.8
1.8000000000000007,14.399999999999999,0.0,8.1,17.1,9.0,0.0,1704.0,0.0,1108.1999999999998,2478.0,724.8,9.0,194.4,447.7714285714286,1167151.1969387755,1601.4000000000005,937.4,7.425,194.4
0.0,15.0,0.0,9.0,18.0,9.0,0.0,1638.0,0.0,1185.0,1491.0,753.0,9.0,210.0,381.2142857142857,349122.1683673469,1122.0,941.0,7.5,210.0
0.0,15.6,0.9,11.7,18.0,16.3,0.0,1827.3,0.0,1133.7,1386.9,762.3,14.4,225.6,386.62142857142857,395152.24336734693,1074.6,987.0,9.6125,225.6
0.0,16.2,1.8,14.4,18.0,23.6,0.0,2016.6,0.0,1082.4,1282.8,771.6,19.8,241.2,392.0285714285714,441182.31836734695,1027.2,1033.0,11.725,241.2
0.0,16.8,2.7,17.1,18.0,30.9,0.0,2205.9,0.0,1031.1,1178.7,780.9,25.200000000000003,256.8,397.4357142857143,487212.39336734696,979.8,1079.0,13.837499999999999,256.8
0.0,17.4,3.6,19.8,18.0,38.2,0.0,2395.2,0.0,979.8,1074.6,790.2,30.6,272.4,402.84285714285716,533242.4683673469,932.4,1125.0,15.95,272.4
0.0,18.0,4.5,22.5,18.0,45.5,0.0,2584.5,0.0,928.5,970.5,799.5,36.0,288.0,408.25,579272.543367347,885.0,1171.0,18.0625,288.0
0.0,18.6,5.4,25.200000000000003,18.0,52.8,0.0,2773.8,0.0,877.2,866.4000000000001,808.8,41.400000000000006,303.6,413.65714285714284,625302.6183673469,837.6,1217.0,20.174999999999997,303.6
0.0,19.2,6.3,27.900000000000002,18.0,60.1,0.0,2963.1000000000004,0.0,825.9000000000001,762.3000000000001,818.1,46.800000000000004,319.2,419.0642857142857,671332.6933673469,790.2,1263.0,22.287499999999998,319.2
0.0,19.8,7.2,30.6,18.0,67.4,0.0,3152.4,0.0,774.6,658.2,827.4,52.2,334.8,424.4714285714286,717362.768367347,742.8,1309.0,24.4,334.8
0.0,20.4,8.1,33.3,18.0,74.7,0.0,3341.7,0.0,723.3,554.1,836.7,57.6,350.4,429.87857142857143,763392.843367347,695.4000000000001,1355.0,26.5125,350.4
0.0,21.0,9.0,36.0,18.0,82.0,0.0,3531.0,0.0,672.0,450.0,846.0,63.0,366.0,435.2857142857143,809422.918367347,648.0,1401.0,28.625,366.0
0.4,19.8,9.0,36.0,25.2,96.0,0.0,3375.0,0.0,669.0,450.6,790.5,98.1,360.9,423.60714285714283,753472.837244898,620.55,1348.0,35.5625,360.9
0.8,18.6,9.0,36.0,32.4,110.0,0.0,3219.0,0.0,666.0,451.2,735.0,133.2,355.8,411.92857142857144,697522.7561224491,593.1,1295.0,42.5,355.8
