S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
39.0,0.0,4.0,9.0,39.0,0.0,0.0,0.0,0.0,9.0,0.0,27.0,0.0,4.0,9.76923076923077,208.33136094674555,13.5,3.0,11.375,4.0
36.9,0.0,4.5,10.8,39.0,0.0,0.0,0.0,0.0,8.1,0.9,27.0,0.0,3.6,9.784615384615385,204.30532544378696,13.95,2.7,11.4,3.6
34.8,0.0,5.0,12.6,39.0,0.0,0.0,0.0,0.0,7.2,1.8,27.0,0.0,3.2,9.8,200.2792899408284,14.4,2.4,11.425,3.2
32.7,0.0,5.5,14.4,39.0,0.0,0.0,0.0,0.0,6.3,2.7,27.0,0.0,2.8,9.815384615384616,196.25325443786983,14.85,2.1,11.45,2.8
30.6,0.0,6.0,16.2,39.0,0.0,0.0,0.0,0.0,5.4,3.6,27.0,0.0,2.4,9.830769230769231,192.22721893491124,15.3,1.8,11.475,2.4
28.5,0.0,6.5,18.0,39.0,0.0,0.0,0.0,0.0,4.5,4.5,27.0,0.0,2.0,9.846153846153847,188.20118343195264,15.75,1.5,11.5,2.0
26.4,0.0,7.0,19.8,39.0,0.0,0.0,0.0,0.0,3.5999999999999996,5.4,27.0,0.0,1.5999999999999996,9.861538461538462,184.17514792899408,16.2,1.2000000000000002,11.525,1.5999999999999996
24.299999999999997,0.0,7.5,21.6,39.0,0.0,0.0,0.0,0.0,2.7,6.3,27.0,0.0,1.1999999999999997,9.876923076923077,180.14911242603551,16.65,0.8999999999999999,11.55,1.1999999999999997
22.2,0.0,8.0,23.4,39.0,0.0,0.0,0.0,0.0,1.7999999999999998,7.2,27.0,0.0,0.7999999999999998,9.892307692307693,176.12307692307692,17.1,0.6000000000000001,11.575,0.7999999999999998
20.099999999999998,0.0,8.5,25.2,39.0,0.0,0.0,0.0,0.0,0.9000000000000004,8.1,27.0,0.0,0.3999999999999999,9.907692307692308,172.09704142011833,17.55,0.30000000000000027,11.6,0.3999999999999999
18.0,0.0,9.0,27.0,39.0,0.0,0.0,0.0,0.0,0.0,9.0,27.0,0.0,0.0,9.923076923076923,168.07100591715977,18.0,0.0,11.625,0.0
17.1,0.0,8.1,25.2,41.4,0.0,0.0,1.8,0.0,0.0,9.0,25.2,0.0,0.0,9.830769230769231,178.6792899408284,17.1,0.6,11.475,0.0
16.2,0.0,7.2,23.4,43.8,0.0,0.0,3.6,0.0,0.0,9.0,23.4,0.0,0.0,9.73846153846154,189.28757396449706,16.2,1.2,11.325,0.0
15.3,0.0,6.3,21.6,46.2,0.0,0.0,5.4,0.0,0.0,9.0,21.6,0.0,0.0,9.646153846153846,199.8958579881657,15.3,1.7999999999999998,11.175,0.0
14.4,0.0,5.4,19.8,48.6,0.0,0.0,7.2,0.0,0.0,9.0,19.8,0.0,0.0,9.553846153846154,210.50414201183435,14.4,2.4,11.025,0.0
13.5,0.0,4.5,18.0,51.0,0.0,0.0,9.0,0.0,0.0,9.0,18.0,0.0,0.0,9.461538461538462,221.11242603550298,13.5,3.0,10.875,0.0
12.6,0.0,3.5999999999999996,16.2,53.4,0.0,0.0,10.8,0.0,0.0,9.0,16.2,0.0,0.0,9.36923076923077,231.7207100591716,12.6,3.5999999999999996,10.725,0.0
11.7,0.0,2.7,14.4,55.8,0.0,0.0,12.6,0.0,0.0,9.0,14.4,0.0,0.0,9.276923076923078,242.32899408284027,11.7,4.2,10.575,0.0
10.8,0.0,1.7999999999999998,12.6,58.2,0.0,0.0,14.4,0.0,0.0,9.0,12.6,0.0,0.0,9.184615384615384,252.9372781065089,10.8,4.8,10.425,0.0
9.9,0.0,0.9000000000000004,10.8,60.599999999999994,0.0,0.0,16.2,0.0,0.0,9.0,10.8,0.0,0.0,9.092307692307692,263.54556213017753,9.9,5.3999999999999995,10.275,0.0
9.0,0.0,0.0,9.0,63.0,0.0,0.0,18.0,0.0,0.0,9.0,9.0,0.0,0.0,9.0,274.1538461538462,9.0,6.0,10.125,0.0
9.0,0.0,0.9,8.1,63.0,0.4,0.0,17.1,0.0,0.0,9.0,8.1,0.0,0.0,8.892307692307693,273.607100591716,8.55,5.7,10.175,0.0
9.0,0.0,1.8,7.2,63.0,0.8,0.0,16.2,0.0,0.0,9.0,7.2,0.0,0.0,8.784615384615385,273.0603550295858,8.1,5.4,10.225,0.0
9.0,0.0,2.7,6.3,63.0,1.2000000000000002,0.0,15.3,0.0,0.0,9.0,6.3,0.0,0.0,8.676923076923076,272.5136094674557,7.65,5.1,10.275,0.0
9.0,0.0,3.6,5.4,63.0,1.6,0.0,14.4,0.0,0.0,9.0,5.4,0.0,0.0,8.569230769230769,271.9668639053255,7.2,4.8,10.325,0.0
9.0,0.0,4.5,4.5,63.0,2.0,0.0,13.5,0.0,0.0,9.0,4.5,0.0,0.0,8.461538461538462,271.4201183431953,6.75,4.5,10.375,0.0
9.0,0.0,5.4,3.5999999999999996,63.0,2.4000000000000004,0.0,12.6,0.0,0.0,9.0,3.5999999999999996,0.0,0.0,8.353846153846154,270.87337278106514,6.3,4.2,10.425,0.0
9.0,0.0,6.3,2.7,63.0,2.8000000000000003,0.0,11.7,0.0,0.0,9.0,2.7,0.0,0.0,8.246153846153847,270.32662721893496,5.85,3.9,10.475,0.0
9.0,0.0,7.2,1.7999999999999998,63.0,3.2,0.0,10.8,0.0,0.0,9.0,1.7999999999999998,0.0,0.0,8.138461538461538,269.77988165680483,5.4,3.6,10.525,0.0
9.0,0.0,8.1,0.9000000000000004,63.0,3.6,0.0,9.9,0.0,0.0,9.0,0.9000000000000004,0.0,0.0,8.03076923076923,269.23313609467465,4.95,3.3000000000000003,10.575,0.0
9.0,0.0,9.0,0.0,63.0,4.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,7.923076923076923,268.68639053254446,4.5,3.0,10.625,0.0
12.6,0.0,9.0,0.0,61.3,3.6,0.0,8.1,3.0,0.0,8.1,0.0,0.0,2.5,8.13076923076923,271.21775147929003,4.05,3.7,10.8125,2.5
16.2,0.0,9.0,0.0,59.6,3.2,0.0,7.2,6.0,0.0,7.2,0.0,0.0,5.0,8.338461538461539,273.7491124260356,3.6,4.4,11.0,5.0
19.8,0.0,9.0,0.0,57.9,2.8,0.0,6.3,9.0,0.0,6.3,0.0,0.0,7.5,8.546153846153846,276.2804733727811,3.15,5.1,11.1875,7.5
23.4,0.0,9.0,0.0,56.2,2.4,0.0,5.4,12.0,0.0,5.4,0.0,0.0,10.0,8.753846153846155,278.81183431952667,2.7,5.8,11.375,10.0
27.0,0.0,9.0,0.0,54.5,2.0,0.0,4.5,15.0,0.0,4.5,0.0,0.0,12.5,8.961538461538462,281.34319526627223,2.25,6.5,11.5625,12.5
30.6,0.0,9.0,0.0,52.8,1.5999999999999996,0.0,3.5999999999999996,18.0,0.0,3.5999999999999996,0.0,0.0,15.0,9.169230769230769,283.8745562130178,1.7999999999999998,7.199999999999999,11.75,15.0
34.2,0.0,9.0,0.0,51.1,1.1999999999999997,0.0,2.7,21.0,0.0,2.7,0.0,0.0,17.5,9.376923076923077,286.40591715976336,1.35,7.8999999999999995,11.9375,17.5
37.8,0.0,9.0,0.0,49.4,0.7999999999999998,0.0,1.7999999999999998,24.0,0.0,1.7999999999999998,0.0,0.0,20.0,9.584615384615384,288.93727810650887,0.8999999999999999,8.6,12.125,20.0
41.4,0.0,9.0,0.0,47.7,0.3999999999999999,0.0,0.9000000000000004,27.0,0.0,0.9000000000000004,0.0,0.0,22.5,9.792307692307693,291.46863905325444,0.4500000000000002,9.3,12.3125,22.5
45.0,0.0,9.0,0.0,46.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,25.0,10.0,294.0,0.0,10.0,12.5,25.0
48.3,0.0,9.0,0.4,45.3,0.0,0.0,0.0,29.1,0.0,1.8,3.0,1.8,27.6,10.669230769230769,311.2828402366864,2.4,9.7,13.1,27.6
51.6,0.0,9.0,0.8,44.6,0.0,0.0,0.0,28.2,0.0,3.6,6.0,3.6,30.2,11.338461538461539,328.56568047337277,4.8,9.4,13.7,30.2
54.9,0.0,9.0,1.2000000000000002,43.9,0.0,0.0,0.0,27.3,0.0,5.4,9.0,5.4,32.8,12.007692307692308,345.8485207100591,7.199999999999999,9.1,14.3,32.8
58.2,0.0,9.0,1.6,43.2,0.0,0.0,0.0,26.4,0.0,7.2,12.0,7.2,35.4,12.676923076923078,363.13136094674553,9.6,8.8,14.9,35.4
61.5,0.0,9.0,2.0,42.5,0.0,0.0,0.0,25.5,0.0,9.0,15.0,9.0,38.0,13.346153846153847,380.41420118343194,12.0,8.5,15.5,38.0
64.8,0.0,9.0,2.4000000000000004,41.8,0.0,0.0,0.0,24.6,0.0,10.8,18.0,10.8,40.6,14.015384615384615,397.6970414201183,14.399999999999999,8.2,16.1,40.6
68.1,0.0,9.0,2.8000000000000003,41.1,0.0,0.0,0.0,23.7,0.0,12.6,21.0,12.6,43.2,14.684615384615384,414.97988165680465,16.8,7.9,16.7,43.2
71.4,0.0,9.0,3.2,40.4,0.0,0.0,0.0,22.8,0.0,14.4,24.0,14.4,45.8,15.353846153846154,432.26272189349106,19.2,7.6,17.3,45.8
74.7,0.0,9.0,3.6,39.7,0.0,0.0,0.0,21.9,0.0,16.2,27.0,16.2,48.400000000000006,16.023076923076925,449.5455621301775,21.599999999999998,7.300000000000001,17.9,48.400000000000006
78.0,0.0,9.0,4.0,39.0,0.0,0.0,0.0,21.0,0.0,18.0,30.0,18.0,51.0,16.692307692307693,466.8284023668638,24.0,7.0,18.5,51.0
75.3,0.0,9.4,3.6,39.0,1.8,0.0,0.0,18.9,0.9,18.0,27.9,17.1,48.4,16.3,443.7017751479289,22.95,6.6,18.275,48.4
72.6,0.0,9.8,3.2,39.0,3.6,0.0,0.0,16.8,1.8,18.0,25.8,16.2,45.8,15.907692307692308,420.575147928994,21.9,6.2,18.05,45.8
69.9,0.0,10.2,2.8,39.0,5.4,0.0,0.0,14.7,2.7,18.0,23.7,15.3,43.2,15.515384615384615,397.44852071005914,20.85,5.8,17.825,43.2
67.2,0.0,10.6,2.4,39.0,7.2,0.0,0.0,12.6,3.6,18.0,21.6,14.4,40.6,15.123076923076924,374.32189349112423,19.8,5.4,17.6,40.6
64.5,0.0,11.0,2.0,39.0,9.0,0.0,0.0,10.5,4.5,18.0,19.5,13.5,38.0,14.730769230769232,351.1952662721893,18.75,5.0,17.375,38.0
61.8,0.0,11.4,1.5999999999999996,39.0,10.8,0.0,0.0,8.399999999999999,5.4,18.0,17.4,12.6,35.4,14.338461538461539,328.0686390532544,17.7,4.6,17.15,35.4
59.099999999999994,0.0,11.8,1.1999999999999997,39.0,12.6,0.0,0.0,6.299999999999999,6.3,18.0,15.299999999999999,11.7,32.8,13.946153846153846,304.9420118343195,16.65,4.199999999999999,16.925,32.8
56.4,0.0,12.2,0.7999999999999998,39.0,14.4,0.0,0.0,4.199999999999999,7.2,18.0,13.2,10.8,30.2,13.553846153846155,281.8153846153846,15.6,3.8,16.7,30.2
53.7,0.0,12.6,0.3999999999999999,39.0,16.2,0.0,0.0,2.099999999999998,8.1,18.0,11.099999999999998,9.9,27.599999999999998,13.161538461538463,258.68875739644966,14.549999999999999,3.4,16.475,27.599999999999998
51.0,0.0,13.0,0.0,39.0,18.0,0.0,0.0,0.0,9.0,18.0,9.0,9.0,25.0,12.76923076923077,235.56213017751477,13.5,3.0,16.25,25.0
46.8,0.0,13.5,0.0,42.6,18.9,0.0,168.3,0.9,73.2,31.5,27.6,9.0,22.5,33.253846153846155,21050.55266272189,29.55,80.8,16.35,22.5
42.6,0.0,14.0,0.0,46.2,19.8,0.0,336.6,1.8,137.4,45.0,46.2,9.0,20.0,53.738461538461536,41865.54319526627,45.6,158.6,16.45,20.0
38.4,0.0,14.5,0.0,49.8,20.7,0.0,504.90000000000003,2.7,201.60000000000002,58.5,64.80000000000001,9.0,17.5,74.22307692307693,62680.533727810645,61.650000000000006,236.39999999999998,16.55,17.5
34.2,0.0,15.0,0.0,53.4,21.6,0.0,673.2,3.6,265.8,72.0,83.4,9.0,15.0,94.70769230769231,83495.52426035501,77.7,314.2,16.65,15.0
30.0,0.0,15.5,0.0,57.0,22.5,0.0,841.5,4.5,330.0,85.5,102.0,9.0,12.5,115.1923076923077,104310.5147928994,93.75,392.0,16.75,12.5
25.799999999999997,0.0,16.0,0.0,60.6,23.4,0.0,1009.8000000000001,5.4,394.20000000000005,99.0,120.60000000000001,9.0,10.0,135.6769230769231,125125.50532544377,109.80000000000001,469.79999999999995,16.85,10.0
