S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,60.0,30.0,0.0,4.0,8.307692307692308,289.5976331360947,1.8,1.0,19.8,0.0
0.0,0.0,0.0,8.5,0.4,8.1,0.0,0.9,0.0,0.9,54.0,27.0,0.9,3.6,7.746153846153847,262.02840236686393,1.7,1.125,18.26,0.0
0.0,0.0,0.0,8.0,0.8,7.2,0.0,1.8,0.0,1.8,48.0,24.0,1.8,3.2,7.184615384615386,234.45917159763317,1.6,1.25,16.72,0.0
0.0,0.0,0.0,7.5,1.2000000000000002,6.3,0.0,2.7,0.0,2.7,42.0,21.0,2.7,2.8,6.6230769230769235,206.8899408284024,1.5,1.375,15.18,0.0
0.0,0.0,0.0,7.0,1.6,5.4,0.0,3.6,0.0,3.6,36.0,18.0,3.6,2.4,6.061538461538462,179.32071005917163,1.4,1.5,13.64,0.0
0.0,0.0,0.0,6.5,2.0,4.5,0.0,4.5,0.0,4.5,30.0,15.0,4.5,2.0,5.500000000000001,151.75147928994085,1.3,1.625,12.100000000000001,0.0
0.0,0.0,0.0,6.0,2.4000000000000004,3.5999999999999996,0.0,5.4,0.0,5.4,24.0,12.0,5.4,1.5999999999999996,4.938461538461539,124.18224852071006,1.2,1.75,10.56,0.0
0.0,0.0,0.0,5.5,2.8000000000000003,2.7,0.0,6.3,0.0,6.3,18.0,9.0,6.3,1.1999999999999997,4.376923076923077,96.6130177514793,1.1,1.875,9.02,0.0
0.0,0.0,0.0,5.0,3.2,1.7999999999999998,0.0,7.2,0.0,7.2,12.0,6.0,7.2,0.7999999999999998,3.815384615384616,69.04378698224852,1.0,2.0,7.48,0.0
0.0,0.0,0.0,4.5,3.6,0.9000000000000004,0.0,8.1,0.0,8.1,6.0,3.0,8.1,0.3999999999999999,3.2538461538461547,41.474556213017735,0.9,2.125,5.940000000000001,0.0
0.0,0.0,0.0,4.0,4.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,9.0,0.0,2.6923076923076925,13.905325443786984,0.8,2.25,4.4,0.0
0.0,0.0,1.3,3.6,6.6,0.0,0.0,9.0,4.5,8.1,0.0,0.0,9.9,0.0,3.307692307692308,31.604733727810654,2.4800000000000004,2.475,4.140000000000001,0.0
0.0,0.0,2.6,3.2,9.2,0.0,0.0,9.0,9.0,7.2,0.0,0.0,10.8,0.0,3.9230769230769234,49.30414201183433,4.16,2.7,3.8800000000000003,0.0
0.0,0.0,3.9000000000000004,2.8,11.8,0.0,0.0,9.0,13.5,6.3,0.0,0.0,11.7,0.0,4.538461538461538,67.00355029585799,5.840000000000001,2.925,3.62,0.0
0.0,0.0,5.2,2.4,14.4,0.0,0.0,9.0,18.0,5.4,0.0,0.0,12.6,0.0,5.153846153846154,84.70295857988167,7.5200000000000005,3.15,3.3600000000000003,0.0
0.0,0.0,6.5,2.0,17.0,0.0,0.0,9.0,22.5,4.5,0.0,0.0,13.5,0.0,5.76923076923077,102.40236686390534,9.200000000000001,3.375,3.1,0.0
0.0,0.0,7.800000000000001,1.5999999999999996,19.6,0.0,0.0,9.0,27.0,3.5999999999999996,0.0,0.0,14.4,0.0,6.384615384615385,120.101775147929,10.880000000000003,3.6,2.84,0.0
0.0,0.0,9.1,1.1999999999999997,22.2,0.0,0.0,9.0,31.5,2.7,0.0,0.0,15.3,0.0,7.000000000000001,137.8011834319527,12.560000000000002,3.825,2.58,0.0
