S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
34.0,21.0,0.0,0.0,24.0,9.0,0.0,9.0,0.0,0.0,0.0,9.0,9.0,4.0,8.846153846153847,113.82248520710063,8.0,8.5,10.5,0.0
31.5,21.0,0.0,0.0,28.5,8.1,0.0,9.0,0.9,0.0,1.8,9.0,8.1,4.5,9.069230769230769,135.17041420118346,8.625,8.1,10.5,0.0
29.0,21.0,0.0,0.0,33.0,7.2,0.0,9.0,1.8,0.0,3.6,9.0,7.2,5.0,9.292307692307693,156.51834319526628,9.25,7.7,10.5,0.0
26.5,21.0,0.0,0.0,37.5,6.3,0.0,9.0,2.7,0.0,5.4,9.0,6.3,5.5,9.515384615384615,177.8662721893491,9.875,7.3,10.5,0.0
24.0,21.0,0.0,0.0,42.0,5.4,0.0,9.0,3.6,0.0,7.2,9.0,5.4,6.0,9.73846153846154,199.21420118343195,10.5,6.9,10.5,0.0
21.5,21.0,0.0,0.0,46.5,4.5,0.0,9.0,4.5,0.0,9.0,9.0,4.5,6.5,9.961538461538462,220.5621301775148,11.125,6.5,10.5,0.0
19.0,21.0,0.0,0.0,51.0,3.5999999999999996,0.0,9.0,5.4,0.0,10.8,9.0,3.5999999999999996,7.0,10.184615384615384,241.9100591715976,11.75,6.1,10.5,0.0
16.5,21.0,0.0,0.0,55.5,2.7,0.0,9.0,6.3,0.0,12.6,9.0,2.7,7.5,10.407692307692308,263.25798816568044,12.375,5.699999999999999,10.5,0.0
14.0,21.0,0.0,0.0,60.0,1.7999999999999998,0.0,9.0,7.2,0.0,14.4,9.0,1.7999999999999998,8.0,10.63076923076923,284.6059171597633,13.0,5.3,10.5,0.0
11.5,21.0,0.0,0.0,64.5,0.9000000000000004,0.0,9.0,8.1,0.0,16.2,9.0,0.9000000000000004,8.5,10.853846153846154,305.9538461538461,13.625,4.9,10.5,0.0
9.0,21.0,0.0,0.0,69.0,0.0,0.0,9.0,9.0,0.0,18.0,9.0,0.0,9.0,11.076923076923077,327.30177514792894,14.25,4.5,10.5,0.0
9.0,19.8,0.9,0.0,64.8,0.0,0.0,8.1,9.9,0.0,17.1,11.1,0.0,8.5,10.823076923076922,304.79644970414193,13.7,4.95,9.9,0.0
9.0,18.6,1.8,0.0,60.6,0.0,0.0,7.2,10.8,0.0,16.2,13.2,0.0,8.0,10.569230769230769,282.291124260355,13.15,5.4,9.3,0.0
9.0,17.4,2.7,0.0,56.4,0.0,0.0,6.3,11.7,0.0,15.3,15.3,0.0,7.5,10.315384615384616,259.785798816568,12.6,5.85,8.7,0.0
9.0,16.2,3.6,0.0,52.2,0.0,0.0,5.4,12.6,0.0,14.4,17.4,0.0,7.0,10.061538461538461,237.28047337278102,12.05,6.3,8.1,0.0
9.0,15.0,4.5,0.0,48.0,0.0,0.0,4.5,13.5,0.0,13.5,19.5,0.0,6.5,9.807692307692307,214.77514792899404,11.5,6.75,7.5,0.0
9.0,13.8,5.4,0.0,43.8,0.0,0.0,3.5999999999999996,14.4,0.0,12.6,21.6,0.0,6.0,9.553846153846154,192.26982248520704,10.95,7.2,6.9,0.0
9.0,12.6,6.3,0.0,39.599999999999994,0.0,0.0,2.7,15.3,0.0,11.7,23.700000000000003,0.0,5.5,9.3,169.76449704142007,10.399999999999999,7.65,6.3,0.0
9.0,11.4,7.2,0.0,35.4,0.0,0.0,1.7999999999999998,16.2,0.0,10.8,25.8,0.0,5.0,9.046153846153846,147.2591715976331,9.85,8.1,5.7,0.0
9.0,10.200000000000001,8.1,0.0,31.199999999999996,0.0,0.0,0.9000000000000004,17.1,0.0,9.9,27.900000000000002,0.0,4.5,8.792307692307691,124.75384615384613,9.3,8.55,5.1000000000000005,0.0
9.0,9.0,9.0,0.0,27.0,0.0,0.0,0.0,18.0,0.0,9.0,30.0,0.0,4.0,8.538461538461538,102.24852071005917,8.75,9.0,4.5,0.0
8.1,9.0,9.0,0.0,27.0,1.8,0.0,0.9,16.2,0.0,9.0,29.1,0.0,3.6,8.46923076923077,99.85207100591715,8.925,8.325,4.5,0.0
7.2,9.0,9.0,0.0,27.0,3.6,0.0,1.8,14.4,0.0,9.0,28.2,0.0,3.2,8.4,97.45562130177514,9.1,7.65,4.5,0.0
6.3,9.0,9.0,0.0,27.0,5.4,0.0,2.7,12.6,0.0,9.0,27.3,0.0,2.8,8.330769230769231,95.05917159763314,9.275,6.975,4.5,0.0
5.4,9.0,9.0,0.0,27.0,7.2,0.0,3.6,10.8,0.0,9.0,26.4,0.0,2.4,8.26153846153846,92.66272189349112,9.45,6.3,4.5,0.0
4.5,9.0,9.0,0.0,27.0,9.0,0.0,4.5,9.0,0.0,9.0,25.5,0.0,2.0,8.192307692307692,90.26627218934911,9.625,5.625,4.5,0.0
3.5999999999999996,9.0,9.0,0.0,27.0,10.8,0.0,5.4,7.199999999999999,0.0,9.0,24.6,0.0,1.5999999999999996,8.123076923076923,87.8698224852071,9.8,4.949999999999999,4.5,0.0
2.7,9.0,9.0,0.0,27.0,12.6,0.0,6.3,5.4,0.0,9.0,23.7,0.0,1.1999999999999997,8.053846153846154,85.47337278106508,9.975,4.2749999999999995,4.5,0.0
1.7999999999999998,9.0,9.0,0.0,27.0,14.4,0.0,7.2,3.5999999999999996,0.0,9.0,22.8,0.0,0.7999999999999998,7.984615384615385,83.07692307692307,10.15,3.5999999999999996,4.5,0.0
0.9000000000000004,9.0,9.0,0.0,27.0,16.2,0.0,8.1,1.8000000000000007,0.0,9.0,21.9,0.0,0.3999999999999999,7.915384615384615,80.68047337278107,10.325,2.925,4.5,0.0
0.0,9.0,9.0,0.0,27.0,18.0,0.0,9.0,0.0,0.0,9.0,21.0,0.0,0.0,7.846153846153846,78.28402366863905,10.5,2.25,4.5,0.0
5.1,9.6,9.9,0.9,25.2,18.0,0.0,9.9,5.1,0.0,9.9,18.9,0.0,1.0,8.653846153846153,98.06272189349113,10.3625,5.25,4.8,0.0
10.2,10.2,10.8,1.8,23.4,18.0,0.0,10.8,10.2,0.0,10.8,16.8,0.0,2.0,9.461538461538462,117.8414201183432,10.225,8.25,5.1,0.0
15.299999999999999,10.8,11.7,2.7,21.6,18.0,0.0,11.7,15.299999999999999,0.0,11.7,14.7,0.0,3.0,10.26923076923077,137.62011834319526,10.0875,11.25,5.4,0.0
20.4,11.4,12.6,3.6,19.8,18.0,0.0,12.6,20.4,0.0,12.6,12.6,0.0,4.0,11.076923076923077,157.39881656804735,9.95,14.25,5.7,0.0
25.5,12.0,13.5,4.5,18.0,18.0,0.0,13.5,25.5,0.0,13.5,10.5,0.0,5.0,11.884615384615383,177.17751479289944,9.8125,17.25,6.0,0.0
30.599999999999998,12.6,14.4,5.4,16.2,18.0,0.0,14.4,30.599999999999998,0.0,14.4,8.399999999999999,0.0,6.0,12.692307692307693,196.9562130177515,9.675,20.25,6.3,0.0
35.699999999999996,13.2,15.3,6.3,14.4,18.0,0.0,15.3,35.699999999999996,0.0,15.3,6.299999999999999,0.0,7.0,13.5,216.73491124260357,9.5375,23.25,6.6,0.0
40.8,13.8,16.2,7.2,12.6,18.0,0.0,16.2,40.8,0.0,16.2,4.199999999999999,0.0,8.0,14.307692307692307,236.51360946745564,9.4,26.25,6.9,0.0
45.9,14.399999999999999,17.1,8.1,10.8,18.0,0.0,17.1,45.9,0.0,17.1,2.099999999999998,0.0,9.0,15.115384615384615,256.2923076923077,9.2625,29.25,7.199999999999999,0.0
51.0,15.0,18.0,9.0,9.0,18.0,0.0,18.0,51.0,0.0,18.0,0.0,0.0,10.0,15.923076923076923,276.0710059171598,9.125,32.25,7.5,0.0
51.0,16.5,17.1,8.1,9.0,19.0,0.0,17.1,50.1,0.0,18.0,0.0,0.0,11.1,15.838461538461539,276.624852071006,9.275,31.575,8.25,0.0
51.0,18.0,16.2,7.2,9.0,20.0,0.0,16.2,49.2,0.0,18.0,0.0,0.0,12.2,15.753846153846155,277.1786982248521,9.425,30.9,9.0,0.0
51.0,19.5,15.3,6.3,9.0,21.0,0.0,15.3,48.3,0.0,18.0,0.0,0.0,13.3,15.669230769230769,277.73254437869826,9.575,30.225,9.75,0.0
51.0,21.0,14.4,5.4,9.0,22.0,0.0,14.4,47.4,0.0,18.0,0.0,0.0,14.4,15.584615384615384,278.2863905325444,9.725,29.55,10.5,0.0
51.0,22.5,13.5,4.5,9.0,23.0,0.0,13.5,46.5,0.0,18.0,0.0,0.0,15.5,15.5,278.84023668639054,9.875,28.875,11.25,0.0
51.0,24.0,12.6,3.5999999999999996,9.0,24.0,0.0,12.6,45.6,0.0,18.0,0.0,0.0,16.6,15.415384615384616,279.3940828402367,10.025,28.2,12.0,0.0
51.0,25.5,11.7,2.7,9.0,25.0,0.0,11.7,44.7,0.0,18.0,0.0,0.0,17.700000000000003,15.330769230769231,279.9479289940828,10.175,27.525,12.75,0.0
51.0,27.0,10.8,1.7999999999999998,9.0,26.0,0.0,10.8,43.8,0.0,18.0,0.0,0.0,18.8,15.246153846153845,280.501775147929,10.325,26.85,13.5,0.0
51.0,28.5,9.9,0.9000000000000004,9.0,27.0,0.0,9.9,42.9,0.0,18.0,0.0,0.0,19.9,15.161538461538461,281.0556213017751,10.475,26.175,14.25,0.0
